EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
PINOCHO BLANCO,11,10,0,0,204,60,144,20
IMPERIO NEGRO B,10,5,3,0,102,82,20,14
COLEGIALES NEGRO,10,4,5,0,94,129,-35,13
FERROCARRIL OESTE BLANCO (B),8,4,3,0,134,108,26,12
ARQUITECTURA BLANCO B,9,3,5,0,87,88,-1,12
"JOSE HERNANDEZ ""B""",10,1,7,0,44,136,-92,10
ITALIANO B,6,0,3,1,10,72,-62,3
