Equipo,Puntos
PINOCHO BLANCO,150520.30500000002
FERROCARRIL OESTE A,140432.1
LANUS A,132114.67500000002
OBRAS CENTRO,129984.86250000002
BOCA JUNIORS AZUL,121828.95000000001
CLUB TRES DE FEBRERO BLANCO,117971.625
INSTITUCION SARMIENTO VERDE,107779.35
RIVER PLATE,106203.8625
G.E DE LOMAS DE ZAMORA A,103470.56250000001
QUILMES A.C.,95416.875
OBRAS NORTE,95112.18750000001
MORON A,94922.925
GEVP BLANCO,94534.50000000001
ESTUDIANTIL PORTEÑO A,93202.12500000001
ARGENTINO DE CASTELAR NORTE,92556.82500000001
SPORTIVO ESCOBAR,82439.55
LOS INDIOS DE MORENO NEGRO,75403.25625
PRESIDENTE DERQUI,75239.46562500001
SAN LORENZO AZUL,72514.2375
WILDE SPORTING,72342.47812500001
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,71658.76875
CLUB ATLETICO PILAR,68607.615
CAZA Y PESCA A,67801.80937500001
CLARIDAD,67220.315625
CLUB GEI AZUL,63512.04375000001
TRISTAN SUAREZ,63166.490625000006
VELEZ SARSFIELD BLANCO,61546.631250000006
COMUNICACIONES,60789.34265625
PEDRO ECHAGUE AZUL,60678.309375000004
CIUDAD DE BUENOS AIRES A,59536.396875000006
SAN FERNANDO AZUL,59460.43125
CLUB SPORTIVO PILAR,58261.875
ARQUITECTURA NEGRO,58009.350000000006
C.A.S.A PADUA A,57805.940625
HARRODS GATH Y CHAVES,56628.751875
IMPERIO BLANCO,56523.787500000006
VARELA JRS,56161.215000000004
ITALIANO,55344.675
BERAZATEGUI,54819.637500000004
MONTE GRANDE,54386.490000000005
A.F.A.L.P. A,54262.471875
PLATENSE MARRON,53018.396250000005
BANCO PROVINCIA,52728.50296875001
ATLETICO BOULOGNE,52416.20625
HEBRAICA,50710.47562500001
VICTORIA,50148.89765625
CEDEM,49974.03937500001
TEMPERLEY,49914.965625000004
INDEPENDIENTE,49054.190625
CLUB SOCIAL ALEJANDRO KORN,49031.56640625
JOSE HERNANDEZ A,48888.271875000006
UNION FLORIDA,48365.83125
RACING CLUB,48128.634375
SAN MIGUEL,47436.61687500001
DEFENSORES DE HURLINGHAM VERDE,47260.46812500001
LOS INDIOS DE MORENO BLANCO,46708.3659375
"DEPORTIVO CROVARA  ""A""",46547.81953125
CENTRO GALICIA,46478.337656250005
MACABI,46267.57453125001
DEPORTIVO SAN ANDRES,45836.81578125
NOLTING,45754.081875
SOCIAL BECCAR,45607.734375
HURACAN DE SAN JUSTO ROJO,45373.625625
CAÑUELAS FC,45195.24375
ALL BOYS BLANCO,45041.32734375
CIUDAD DE BUENOS AIRES B,44719.567500000005
VILLA MITRE,44572.826250000006
APV,44546.89875000001
INSTITUCION SARMIENTO BLANCO,44317.44562500001
UNITARIOS DE MARCOS PAZ,43470.620625
NAUTICO BUCHARDO A,43157.233125000006
LOS ANDES,43122.230625000004
UNIVERSIDAD DE BUENOS AIRES,42911.81765625
ARGENTINOS JUNIORS,42756.1828125
ARGENTINO DE CASTELAR CENTRO,42276.748125000006
FERROCARRIL OESTE B,42174.73171875
BELLA VISTA,41866.532343750005
U.V.V.ADELINA,41828.64609375
CLUB TRES DE FEBRERO AZUL,41620.438593750005
CLUB PORTUGUES DEL GRAN BUENOS AIRES,40751.9146875
BOCA JUNIORS AMARILLO,40037.72578125
NAUTICO HACOAJ BLANCO,39665.634375
COUNTRY BANFIELD A,39606.20953125
COOPERATIVA TORTUGUITAS,39282.57796875
C.A.S.A PADUA B,38791.041093750006
COLEGIALES BLANCO,38306.934375000004
LOBOS ATHLETIC CLUB,38291.923593750005
BANADE,38108.14921875
BURZACO FC A,37821.10125
MIDLAND,37548.05625
VILLEGAS BASQUET,37286.592187500006
OLIMPO,37228.359375
UNION VECINAL DE MUNRO,37202.520000000004
EL TALAR,37097.25375
ARMENIA,36895.0865625
DEFENSORES DE SANTOS LUGARES,36187.400625
DEFENSORES DE BANFIELD,36182.31375
GEBA,35395.99453125
DEFENSORES DE GLEW,35215.6275
COPELLO,35044.44984375
DEP. MORON BLANCO,34995.61125
LA UNION,34656.9609375
SPORTIVO VILLA BALLESTER,34647.38250000001
DEFENSORES DE MORENO,34144.7765625
17 DE AGOSTO,34134.262500000004
CAZA Y PESCA B,34111.59281250001
PORTEÑO ATLETICO CLUB,33784.920000000006
COOPERARIOS,33696.082500000004
SPORTIVO ALSINA,33371.58890625
GEVP CELESTE,33321.384375
G.E DE LOMAS DE ZAMORA B,32554.884843750002
ITALIANO B,32459.11875
LAS HERAS A,31866.110625
CLUB ATLETICO BERNAL,31862.1815625
MORON B,31856.528437500005
ESTUDIANTIL PORTEÑO B,31833.865312500006
CENTRO ESPAÑOL,31390.606875000005
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,31328.604843750003
VELEZ SARSFIELD AZUL,31304.889843750003
LANUS B,30900.103125
CIUDADELA NORTE,30659.9784375
TAPONAZO  FUTBOL CLUB,30541.190625
ESTRELLA DE BOEDO,30502.849687500006
JUVENTUD UNIDA,30411.103125
YUPANQUI,30324.05859375
EL PALOMAR,30058.616718750003
UNLAM A,29969.719687500005
SITAS,29368.131093750002
LEANDRO N ALEM,29208.616875000003
CIRCULO URQUIZA AZUL,29110.314375
RAMOS MEJIA LTC,28907.775
VILLA ESPAÑA,28895.000625
GUILLON BASQUET,27905.491406250003
PLATENSE BLANCO,27631.99546875
BANCO NACIÓN,27508.325625
FERROCARRIL OESTE C,26846.81015625
SAN LORENZO ROJO,26769.469218750004
CLUB GEI BLANCO,26730.445312500004
LUZ Y ARTE,26664.816093750003
MORENO DE QUILMES,26645.526562500003
MUNICIPALIDAD DE AVELLANEDA,26481.15
NAUTICO HACOAJ AZUL,26472.579375
CLUB SOCIAL EZEIZA,25974.682031250002
COLON FC,25820.7046875
