local,visitante,BP_LOCAL,BP_VISITA,peso_anio,peso_nivel,peso_fase,peso_ronda,LocalSuma,VisitaSuma
ESTUDIANTIL PORTEÑO A,LOS INDIOS DE MORENO BLANCO,700.0,300.0,0.25,1.25,1,4,875.0,375.0
RAMOS MEJIA LTC,INSTITUCION SARMIENTO VERDE,700.0,300.0,0.25,1.25,1,4,875.0,375.0
ARGENTINO DE CASTELAR NORTE,UNLAM A,700.0,300.0,0.25,1.25,1,4,875.0,375.0
C.A.S.A PADUA A,LEANDRO N ALEM,700.0,300.0,0.25,1.25,1,4,875.0,375.0
PLATENSE MARRON,CLUB TRES DE FEBRERO BLANCO,750.0,250.0,0.25,1.25,1,4,937.5,312.5
CAZA Y PESCA A,VICTORIA,750.0,250.0,0.25,1.25,1,4,937.5,312.5
DEPORTIVO SAN ANDRES,NAUTICO HACOAJ BLANCO,350.0,650.0,0.25,1.25,1,4,437.5,812.5
BANCO NACIÓN,SAN FERNANDO AZUL,700.0,300.0,0.25,1.25,1,4,875.0,375.0
SAN LORENZO AZUL,APV,700.0,300.0,0.25,1.25,1,4,875.0,375.0
COLEGIALES BLANCO,COMUNICACIONES,700.0,300.0,0.25,1.25,1,4,875.0,375.0
"DEPORTIVO CROVARA  ""A""",PINOCHO BLANCO,650.0,350.0,0.25,1.25,1,4,812.5,437.5
VELEZ SARSFIELD BLANCO,JOSE HERNANDEZ A,750.0,250.0,0.25,1.25,1,4,937.5,312.5
CAÑUELAS FC,TRISTAN SUAREZ,350.0,650.0,0.25,1.25,1,4,437.5,812.5
RACING CLUB,BERAZATEGUI,750.0,250.0,0.25,1.25,1,4,937.5,312.5
QUILMES A.C.,LANUS B,650.0,350.0,0.25,1.25,1,4,812.5,437.5
TEMPERLEY,MONTE GRANDE,650.0,350.0,0.25,1.25,1,4,812.5,437.5
OBRAS CENTRO,A.F.A.L.P. A,750.0,250.0,0.25,2.0,1,4,1500.0,500.0
BOCA JUNIORS AZUL,OBRAS NORTE,700.0,300.0,0.25,2.0,1,4,1400.0,600.0
LANUS A,LOS INDIOS DE MORENO NEGRO,750.0,250.0,0.25,2.0,1,4,1500.0,500.0
PEDRO ECHAGUE AZUL,FERROCARRIL OESTE A,300.0,700.0,0.25,2.0,1,4,600.0,1400.0
FERROCARRIL OESTE B,NAUTICO BUCHARDO B,750.0,250.0,0.25,1.0,1,3,562.5,187.5
ARMENIA,ITALIANO B,750.0,250.0,0.25,1.0,1,3,562.5,187.5
PEDRO ECHAGUE AMARILLO,PINOCHO VERDE,750.0,250.0,0.25,1.0,1,3,562.5,187.5
COLEGIALES NEGRO,U.A.I. URQUIZA,700.0,0.0,0.25,1.0,1,3,525.0,0.0
EL TALAR,CIUDAD DE BUENOS AIRES B,650.0,350.0,0.25,1.0,1,3,487.5,262.5
IMPERIO NEGRO,SAN LORENZO ROJO,350.0,650.0,0.25,1.0,1,3,262.5,487.5
RACING CLUB,SOCIAL LANUS,750.0,250.0,0.25,1.25,1,3,703.125,234.375
QUILMES A.C.,COUNTRY BANFIELD A,750.0,250.0,0.25,1.25,1,3,703.125,234.375
TEMPERLEY,CLUB ATLETICO BERNAL,750.0,250.0,0.25,1.25,1,3,703.125,234.375
MONTE GRANDE,VILLA ESPAÑA,650.0,350.0,0.25,1.25,1,3,609.375,328.125
LANUS B,BURZACO FC A,750.0,250.0,0.25,1.25,1,3,703.125,234.375
WILDE SPORTING,BERAZATEGUI,350.0,650.0,0.25,1.25,1,3,328.125,609.375
TRISTAN SUAREZ,INDEPENDIENTE DE BURZACO,700.0,300.0,0.25,1.25,1,3,656.25,281.25
SAN LORENZO AZUL,MACABI,750.0,250.0,0.25,1.25,1,3,703.125,234.375
COLEGIALES BLANCO,COPELLO,750.0,250.0,0.25,1.25,1,3,703.125,234.375
"DEPORTIVO CROVARA  ""A""",GEBA,750.0,250.0,0.25,1.25,1,3,703.125,234.375
VELEZ SARSFIELD BLANCO,ITALIANO,750.0,250.0,0.25,1.25,1,3,703.125,234.375
JOSE HERNANDEZ A,ARQUITECTURA NEGRO,750.0,250.0,0.25,1.25,1,3,703.125,234.375
APV,VILLA MITRE,700.0,300.0,0.25,1.25,1,3,656.25,281.25
IMPERIO BLANCO,COMUNICACIONES,350.0,650.0,0.25,1.25,1,3,328.125,609.375
UNIVERSIDAD DE BUENOS AIRES,CLUB TRES DE FEBRERO AZUL,750.0,250.0,0.25,1.0,1,3,562.5,187.5
BANADE,LAS HERAS B,750.0,250.0,0.25,1.0,1,3,562.5,187.5
NAUTICO BUCHARDO A,CIRCULO URQUIZA AZUL,700.0,0.0,0.25,1.0,1,3,525.0,0.0
CAZA Y PESCA B,PLATENSE BLANCO,700.0,300.0,0.25,1.0,1,3,525.0,225.0
TELEFONOS,CLUB 12 DE OCTUBRE,350.0,650.0,0.25,1.0,1,3,262.5,487.5
NAUTICO HACOAJ AZUL,HEBRAICA,350.0,650.0,0.25,1.0,1,3,262.5,487.5
