local,visitante,BP_LOCAL,BP_VISITA,peso_anio,peso_nivel,peso_fase,peso_ronda,LocalSuma,VisitaSuma
U.V.V.ADELINA,OBRAS NORTE,250.0,750.0,0.25,2.0,1,2,250.0,750.0
BOCA JUNIORS AZUL,OBRAS NORTE,650.0,350.0,0.25,2.0,1,2,650.0,350.0
GEVP BLANCO,U.V.V.ADELINA,700.0,0.0,0.25,2.0,1,2,700.0,0.0
A.F.A.L.P. A,PEDRO ECHAGUE AZUL,650.0,350.0,0.25,2.0,1,2,650.0,350.0
MORON A,G.E DE LOMAS DE ZAMORA A,350.0,650.0,0.25,2.0,1,2,350.0,650.0
G.E DE LOMAS DE ZAMORA A,BOCA JUNIORS AZUL,300.0,700.0,0.25,2.0,1,2,300.0,700.0
PEDRO ECHAGUE AZUL,MORON A,750.0,250.0,0.25,2.0,1,2,750.0,250.0
U.V.V.ADELINA,A.F.A.L.P. A,250.0,750.0,0.25,2.0,1,2,250.0,750.0
OBRAS NORTE,GEVP BLANCO,700.0,300.0,0.25,2.0,1,2,700.0,300.0
BOCA JUNIORS AZUL,GEVP BLANCO,750.0,250.0,0.25,2.0,1,2,750.0,250.0
A.F.A.L.P. A,OBRAS NORTE,350.0,650.0,0.25,2.0,1,2,350.0,650.0
MORON A,U.V.V.ADELINA,650.0,350.0,0.25,2.0,1,2,650.0,350.0
G.E DE LOMAS DE ZAMORA A,PEDRO ECHAGUE AZUL,250.0,750.0,0.25,2.0,1,2,250.0,750.0
PEDRO ECHAGUE AZUL,BOCA JUNIORS AZUL,350.0,650.0,0.25,2.0,1,2,350.0,650.0
U.V.V.ADELINA,G.E DE LOMAS DE ZAMORA A,250.0,750.0,0.25,2.0,1,2,250.0,750.0
OBRAS NORTE,MORON A,750.0,250.0,0.25,2.0,1,2,750.0,250.0
GEVP BLANCO,A.F.A.L.P. A,700.0,300.0,0.25,2.0,1,2,700.0,300.0
A.F.A.L.P. A,BOCA JUNIORS AZUL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
RIVER PLATE,VELEZ SARSFIELD BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
BOCA JUNIORS AZUL,RIVER PLATE,700.0,300.0,0.25,1.0,1,1,175.0,75.0
VELEZ SARSFIELD BLANCO,A.F.A.L.P. A,700.0,300.0,0.25,1.0,1,1,175.0,75.0
A.F.A.L.P. A,RIVER PLATE,650.0,350.0,0.25,1.0,1,1,162.5,87.5
BOCA JUNIORS AZUL,A.F.A.L.P. A,700.0,300.0,0.25,1.0,1,1,175.0,75.0
VELEZ SARSFIELD BLANCO,RIVER PLATE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
RIVER PLATE,BOCA JUNIORS AZUL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
A.F.A.L.P. A,VELEZ SARSFIELD BLANCO,700.0,300.0,0.25,1.0,1,1,175.0,75.0
BOCA JUNIORS AZUL,VELEZ SARSFIELD BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
RIVER PLATE,A.F.A.L.P. A,700.0,300.0,0.25,1.0,1,1,175.0,75.0
HURACAN DE SAN JUSTO ROJO,LANUS A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CIUDAD DE BUENOS AIRES A,FERROCARRIL OESTE A,350.0,650.0,0.25,1.0,1,1,87.5,162.5
LANUS A,CIUDAD DE BUENOS AIRES A,750.0,250.0,0.25,1.0,1,1,187.5,62.5
FERROCARRIL OESTE A,HURACAN DE SAN JUSTO ROJO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
FERROCARRIL OESTE A,LANUS A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
HURACAN DE SAN JUSTO ROJO,CIUDAD DE BUENOS AIRES A,250.0,750.0,0.25,1.0,1,1,62.5,187.5
LANUS A,HURACAN DE SAN JUSTO ROJO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
FERROCARRIL OESTE A,CIUDAD DE BUENOS AIRES A,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CIUDAD DE BUENOS AIRES A,LANUS A,350.0,650.0,0.25,1.0,1,1,87.5,162.5
HURACAN DE SAN JUSTO ROJO,FERROCARRIL OESTE A,250.0,750.0,0.25,1.0,1,1,62.5,187.5
LANUS A,FERROCARRIL OESTE A,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CIUDAD DE BUENOS AIRES A,HURACAN DE SAN JUSTO ROJO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
NOLTING,RAMOS MEJIA LTC,250.0,750.0,0.25,1.25,1,1,78.125,234.375
A.F.A.L.P. A,INSTITUCION SARMIENTO VERDE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
ESTUDIANTIL PORTEÑO A,LOS INDIOS DE MORENO NEGRO,650.0,350.0,0.25,1.25,1,1,203.125,109.375
A.F.A.L.P. A,NOLTING,700.0,300.0,0.25,1.25,1,1,218.75,93.75
INSTITUCION SARMIENTO VERDE,ESTUDIANTIL PORTEÑO A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
LOS INDIOS DE MORENO NEGRO,RAMOS MEJIA LTC,650.0,350.0,0.25,1.25,1,1,203.125,109.375
NOLTING,LOS INDIOS DE MORENO NEGRO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
RAMOS MEJIA LTC,INSTITUCION SARMIENTO VERDE,700.0,300.0,0.25,1.25,1,1,218.75,93.75
ESTUDIANTIL PORTEÑO A,A.F.A.L.P. A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
ESTUDIANTIL PORTEÑO A,NOLTING,750.0,250.0,0.25,1.25,1,1,234.375,78.125
A.F.A.L.P. A,RAMOS MEJIA LTC,350.0,650.0,0.25,1.25,1,1,109.375,203.125
INSTITUCION SARMIENTO VERDE,LOS INDIOS DE MORENO NEGRO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
NOLTING,INSTITUCION SARMIENTO VERDE,300.0,700.0,0.25,1.25,1,1,93.75,218.75
LOS INDIOS DE MORENO NEGRO,A.F.A.L.P. A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
RAMOS MEJIA LTC,ESTUDIANTIL PORTEÑO A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
RAMOS MEJIA LTC,NOLTING,650.0,350.0,0.25,1.25,1,1,203.125,109.375
LOS INDIOS DE MORENO NEGRO,ESTUDIANTIL PORTEÑO A,650.0,350.0,0.25,1.25,1,1,203.125,109.375
INSTITUCION SARMIENTO VERDE,A.F.A.L.P. A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
NOLTING,A.F.A.L.P. A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
ESTUDIANTIL PORTEÑO A,INSTITUCION SARMIENTO VERDE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
RAMOS MEJIA LTC,LOS INDIOS DE MORENO NEGRO,700.0,300.0,0.25,1.25,1,1,218.75,93.75
A.F.A.L.P. A,ESTUDIANTIL PORTEÑO A,650.0,350.0,0.25,1.25,1,1,203.125,109.375
INSTITUCION SARMIENTO VERDE,RAMOS MEJIA LTC,350.0,650.0,0.25,1.25,1,1,109.375,203.125
LOS INDIOS DE MORENO NEGRO,NOLTING,750.0,250.0,0.25,1.25,1,1,234.375,78.125
NOLTING,ESTUDIANTIL PORTEÑO A,250.0,750.0,0.25,1.25,1,1,78.125,234.375
RAMOS MEJIA LTC,A.F.A.L.P. A,300.0,700.0,0.25,1.25,1,1,93.75,218.75
LOS INDIOS DE MORENO NEGRO,INSTITUCION SARMIENTO VERDE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
INSTITUCION SARMIENTO VERDE,NOLTING,350.0,650.0,0.25,1.25,1,1,109.375,203.125
A.F.A.L.P. A,LOS INDIOS DE MORENO NEGRO,700.0,300.0,0.25,1.25,1,1,218.75,93.75
ESTUDIANTIL PORTEÑO A,RAMOS MEJIA LTC,750.0,250.0,0.25,1.25,1,1,234.375,78.125
Club GEI AZUL,ARGENTINO DE CASTELAR NORTE,300.0,700.0,0.25,1.25,1,1,93.75,218.75
C.A.S.A PADUA A,HURACAN DE SAN JUSTO ROJO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
MORON A,SAN MIGUEL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
MORON A,Club GEI AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN MIGUEL,C.A.S.A PADUA A,250.0,750.0,0.25,1.25,1,1,78.125,234.375
HURACAN DE SAN JUSTO ROJO,ARGENTINO DE CASTELAR NORTE,700.0,300.0,0.25,1.25,1,1,218.75,93.75
Club GEI AZUL,HURACAN DE SAN JUSTO ROJO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
ARGENTINO DE CASTELAR NORTE,SAN MIGUEL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
C.A.S.A PADUA A,MORON A,700.0,300.0,0.25,1.25,1,1,218.75,93.75
C.A.S.A PADUA A,Club GEI AZUL,700.0,300.0,0.25,1.25,1,1,218.75,93.75
MORON A,ARGENTINO DE CASTELAR NORTE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN MIGUEL,HURACAN DE SAN JUSTO ROJO,250.0,750.0,0.25,1.25,1,1,78.125,234.375
Club GEI AZUL,SAN MIGUEL,700.0,0.0,0.25,1.25,1,1,218.75,0.0
HURACAN DE SAN JUSTO ROJO,MORON A,750.0,250.0,0.25,1.25,1,1,234.375,78.125
ARGENTINO DE CASTELAR NORTE,C.A.S.A PADUA A,700.0,300.0,0.25,1.25,1,1,218.75,93.75
ARGENTINO DE CASTELAR NORTE,Club GEI AZUL,700.0,300.0,0.25,1.25,1,1,218.75,93.75
HURACAN DE SAN JUSTO ROJO,C.A.S.A PADUA A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
SAN MIGUEL,MORON A,250.0,750.0,0.25,1.25,1,1,78.125,234.375
Club GEI AZUL,MORON A,650.0,350.0,0.25,1.25,1,1,203.125,109.375
C.A.S.A PADUA A,SAN MIGUEL,700.0,300.0,0.25,1.25,1,1,218.75,93.75
ARGENTINO DE CASTELAR NORTE,HURACAN DE SAN JUSTO ROJO,350.0,650.0,0.25,1.25,1,1,109.375,203.125
HURACAN DE SAN JUSTO ROJO,Club GEI AZUL,700.0,300.0,0.25,1.25,1,1,218.75,93.75
SAN MIGUEL,ARGENTINO DE CASTELAR NORTE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
MORON A,C.A.S.A PADUA A,650.0,350.0,0.25,1.25,1,1,203.125,109.375
Club GEI AZUL,C.A.S.A PADUA A,250.0,750.0,0.25,1.25,1,1,78.125,234.375
ARGENTINO DE CASTELAR NORTE,MORON A,650.0,350.0,0.25,1.25,1,1,203.125,109.375
HURACAN DE SAN JUSTO ROJO,SAN MIGUEL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN MIGUEL,Club GEI AZUL,0.0,700.0,0.25,1.25,1,1,0.0,218.75
MORON A,HURACAN DE SAN JUSTO ROJO,350.0,650.0,0.25,1.25,1,1,109.375,203.125
C.A.S.A PADUA A,ARGENTINO DE CASTELAR NORTE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CLARIDAD,CEDEM,750.0,250.0,0.25,1.0,1,1,187.5,62.5
UNLAM A,ESTUDIANTIL PORTEÑO B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
DEFENSORES DE HURLINGHAM VERDE,DEP. MORON BLANCO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
DEFENSORES DE HURLINGHAM VERDE,CLARIDAD,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEP. MORON BLANCO,UNLAM A,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ESTUDIANTIL PORTEÑO B,CEDEM,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CLARIDAD,ESTUDIANTIL PORTEÑO B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CEDEM,DEP. MORON BLANCO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
UNLAM A,DEFENSORES DE HURLINGHAM VERDE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
UNLAM A,CLARIDAD,700.0,0.0,0.25,1.0,1,1,175.0,0.0
DEFENSORES DE HURLINGHAM VERDE,CEDEM,0.0,700.0,0.25,1.0,1,1,0.0,175.0
DEP. MORON BLANCO,ESTUDIANTIL PORTEÑO B,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CLARIDAD,DEP. MORON BLANCO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CEDEM,UNLAM A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
ESTUDIANTIL PORTEÑO B,DEFENSORES DE HURLINGHAM VERDE,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CEDEM,CLARIDAD,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ESTUDIANTIL PORTEÑO B,UNLAM A,650.0,350.0,0.25,1.0,1,1,162.5,87.5
DEP. MORON BLANCO,DEFENSORES DE HURLINGHAM VERDE,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CLARIDAD,DEFENSORES DE HURLINGHAM VERDE,350.0,650.0,0.25,1.0,1,1,87.5,162.5
UNLAM A,DEP. MORON BLANCO,700.0,300.0,0.25,1.0,1,1,175.0,75.0
CEDEM,ESTUDIANTIL PORTEÑO B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ESTUDIANTIL PORTEÑO B,CLARIDAD,700.0,0.0,0.25,1.0,1,1,175.0,0.0
DEP. MORON BLANCO,CEDEM,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE HURLINGHAM VERDE,UNLAM A,300.0,700.0,0.25,1.0,1,1,75.0,175.0
CLARIDAD,UNLAM A,250.0,750.0,0.25,1.0,1,1,62.5,187.5
CEDEM,DEFENSORES DE HURLINGHAM VERDE,300.0,700.0,0.25,1.0,1,1,75.0,175.0
ESTUDIANTIL PORTEÑO B,DEP. MORON BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
DEP. MORON BLANCO,CLARIDAD,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE HURLINGHAM VERDE,ESTUDIANTIL PORTEÑO B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
UNLAM A,CEDEM,750.0,250.0,0.25,1.0,1,1,187.5,62.5
MIDLAND,LEANDRO N ALEM,250.0,750.0,0.25,1.0,1,1,62.5,187.5
LOS INDIOS DE MORENO BLANCO,C.A.S.A PADUA B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
UNITARIOS DE MARCOS PAZ,EL PALOMAR,750.0,250.0,0.25,1.0,1,1,187.5,62.5
UNITARIOS DE MARCOS PAZ,MIDLAND,250.0,750.0,0.25,1.0,1,1,62.5,187.5
EL PALOMAR,LOS INDIOS DE MORENO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
C.A.S.A PADUA B,LEANDRO N ALEM,250.0,750.0,0.25,1.0,1,1,62.5,187.5
MIDLAND,C.A.S.A PADUA B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
LEANDRO N ALEM,EL PALOMAR,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LOS INDIOS DE MORENO BLANCO,UNITARIOS DE MARCOS PAZ,750.0,250.0,0.25,1.0,1,1,187.5,62.5
LOS INDIOS DE MORENO BLANCO,MIDLAND,650.0,350.0,0.25,1.0,1,1,162.5,87.5
UNITARIOS DE MARCOS PAZ,LEANDRO N ALEM,250.0,750.0,0.25,1.0,1,1,62.5,187.5
EL PALOMAR,C.A.S.A PADUA B,650.0,350.0,0.25,1.0,1,1,162.5,87.5
MIDLAND,EL PALOMAR,750.0,250.0,0.25,1.0,1,1,187.5,62.5
C.A.S.A PADUA B,UNITARIOS DE MARCOS PAZ,300.0,700.0,0.25,1.0,1,1,75.0,175.0
LEANDRO N ALEM,LOS INDIOS DE MORENO BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
LEANDRO N ALEM,MIDLAND,650.0,350.0,0.25,1.0,1,1,162.5,87.5
C.A.S.A PADUA B,LOS INDIOS DE MORENO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
EL PALOMAR,UNITARIOS DE MARCOS PAZ,300.0,700.0,0.25,1.0,1,1,75.0,175.0
MIDLAND,UNITARIOS DE MARCOS PAZ,250.0,750.0,0.25,1.0,1,1,62.5,187.5
LOS INDIOS DE MORENO BLANCO,EL PALOMAR,700.0,0.0,0.25,1.0,1,1,175.0,0.0
LEANDRO N ALEM,C.A.S.A PADUA B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
C.A.S.A PADUA B,MIDLAND,300.0,700.0,0.25,1.0,1,1,75.0,175.0
EL PALOMAR,LEANDRO N ALEM,350.0,650.0,0.25,1.0,1,1,87.5,162.5
UNITARIOS DE MARCOS PAZ,LOS INDIOS DE MORENO BLANCO,300.0,700.0,0.25,1.0,1,1,75.0,175.0
MIDLAND,LOS INDIOS DE MORENO BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
LEANDRO N ALEM,UNITARIOS DE MARCOS PAZ,650.0,350.0,0.25,1.0,1,1,162.5,87.5
C.A.S.A PADUA B,EL PALOMAR,300.0,700.0,0.25,1.0,1,1,75.0,175.0
EL PALOMAR,MIDLAND,350.0,650.0,0.25,1.0,1,1,87.5,162.5
UNITARIOS DE MARCOS PAZ,C.A.S.A PADUA B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
LOS INDIOS DE MORENO BLANCO,LEANDRO N ALEM,700.0,300.0,0.25,1.0,1,1,175.0,75.0
DEFENSORES DE MORENO,MORON B,0.0,700.0,0.25,1.0,1,1,0.0,175.0
HURACAN DE SAN JUSTO BLANCO,ALTUBE,700.0,0.0,0.25,1.0,1,1,175.0,0.0
RAMOS MEJIA LTC B,ALTE. BROWN,650.0,350.0,0.25,1.0,1,1,162.5,87.5
RAMOS MEJIA LTC B,DEFENSORES DE MORENO,0.0,0.0,0.25,1.0,1,1,0.0,0.0
ALTE. BROWN,HURACAN DE SAN JUSTO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ALTUBE,MORON B,0.0,700.0,0.25,1.0,1,1,0.0,175.0
DEFENSORES DE MORENO,ALTUBE,0.0,700.0,0.25,1.0,1,1,0.0,175.0
MORON B,ALTE. BROWN,650.0,350.0,0.25,1.0,1,1,162.5,87.5
HURACAN DE SAN JUSTO BLANCO,RAMOS MEJIA LTC B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
HURACAN DE SAN JUSTO BLANCO,DEFENSORES DE MORENO,700.0,0.0,0.25,1.0,1,1,175.0,0.0
RAMOS MEJIA LTC B,MORON B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
ALTUBE,ALTE. BROWN,350.0,650.0,0.25,1.0,1,1,87.5,162.5
DEFENSORES DE MORENO,ALTE. BROWN,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ALTUBE,RAMOS MEJIA LTC B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
MORON B,HURACAN DE SAN JUSTO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
MORON B,DEFENSORES DE MORENO,700.0,0.0,0.25,1.0,1,1,175.0,0.0
ALTUBE,HURACAN DE SAN JUSTO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ALTE. BROWN,RAMOS MEJIA LTC B,350.0,650.0,0.25,1.0,1,1,87.5,162.5
DEFENSORES DE MORENO,RAMOS MEJIA LTC B,0.0,0.0,0.25,1.0,1,1,0.0,0.0
HURACAN DE SAN JUSTO BLANCO,ALTE. BROWN,750.0,250.0,0.25,1.0,1,1,187.5,62.5
MORON B,ALTUBE,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ALTUBE,DEFENSORES DE MORENO,700.0,0.0,0.25,1.0,1,1,175.0,0.0
ALTE. BROWN,MORON B,700.0,300.0,0.25,1.0,1,1,175.0,75.0
RAMOS MEJIA LTC B,HURACAN DE SAN JUSTO BLANCO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEFENSORES DE MORENO,HURACAN DE SAN JUSTO BLANCO,0.0,700.0,0.25,1.0,1,1,0.0,175.0
MORON B,RAMOS MEJIA LTC B,0.0,700.0,0.25,1.0,1,1,0.0,175.0
ALTE. BROWN,ALTUBE,700.0,300.0,0.25,1.0,1,1,175.0,75.0
RAMOS MEJIA LTC B,ALTUBE,700.0,300.0,0.25,1.0,1,1,175.0,75.0
HURACAN DE SAN JUSTO BLANCO,MORON B,750.0,250.0,0.25,1.0,1,1,187.5,62.5
SITAS,ITALIANO DE JOSE C PAZ,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CENTRO ESPAÑOL,DEFENSORES DE SANTOS LUGARES,0.0,0.0,0.25,1.0,1,1,0.0,0.0
ARGENTINO DE CASTELAR CENTRO,Club GEI BLANCO,700.0,0.0,0.25,1.0,1,1,175.0,0.0
ARGENTINO DE CASTELAR CENTRO,SITAS,700.0,300.0,0.25,1.0,1,1,175.0,75.0
Club GEI BLANCO,CENTRO ESPAÑOL,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEFENSORES DE SANTOS LUGARES,ITALIANO DE JOSE C PAZ,0.0,0.0,0.25,1.0,1,1,0.0,0.0
SITAS,DEFENSORES DE SANTOS LUGARES,700.0,0.0,0.25,1.0,1,1,175.0,0.0
ITALIANO DE JOSE C PAZ,Club GEI BLANCO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CENTRO ESPAÑOL,ARGENTINO DE CASTELAR CENTRO,350.0,650.0,0.25,1.0,1,1,87.5,162.5
CENTRO ESPAÑOL,SITAS,750.0,250.0,0.25,1.0,1,1,187.5,62.5
ARGENTINO DE CASTELAR CENTRO,ITALIANO DE JOSE C PAZ,750.0,250.0,0.25,1.0,1,1,187.5,62.5
Club GEI BLANCO,DEFENSORES DE SANTOS LUGARES,350.0,650.0,0.25,1.0,1,1,87.5,162.5
SITAS,Club GEI BLANCO,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE SANTOS LUGARES,ARGENTINO DE CASTELAR CENTRO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
ITALIANO DE JOSE C PAZ,CENTRO ESPAÑOL,350.0,650.0,0.25,1.0,1,1,87.5,162.5
ITALIANO DE JOSE C PAZ,SITAS,350.0,650.0,0.25,1.0,1,1,87.5,162.5
DEFENSORES DE SANTOS LUGARES,CENTRO ESPAÑOL,250.0,750.0,0.25,1.0,1,1,62.5,187.5
Club GEI BLANCO,ARGENTINO DE CASTELAR CENTRO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
SITAS,ARGENTINO DE CASTELAR CENTRO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
CENTRO ESPAÑOL,Club GEI BLANCO,650.0,350.0,0.25,1.0,1,1,162.5,87.5
ITALIANO DE JOSE C PAZ,DEFENSORES DE SANTOS LUGARES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
DEFENSORES DE SANTOS LUGARES,SITAS,250.0,750.0,0.25,1.0,1,1,62.5,187.5
Club GEI BLANCO,ITALIANO DE JOSE C PAZ,300.0,700.0,0.25,1.0,1,1,75.0,175.0
ARGENTINO DE CASTELAR CENTRO,CENTRO ESPAÑOL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
SITAS,CENTRO ESPAÑOL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
ITALIANO DE JOSE C PAZ,ARGENTINO DE CASTELAR CENTRO,250.0,750.0,0.25,1.0,1,1,62.5,187.5
DEFENSORES DE SANTOS LUGARES,Club GEI BLANCO,700.0,300.0,0.25,1.0,1,1,175.0,75.0
Club GEI BLANCO,SITAS,0.0,700.0,0.25,1.0,1,1,0.0,175.0
ARGENTINO DE CASTELAR CENTRO,DEFENSORES DE SANTOS LUGARES,750.0,250.0,0.25,1.0,1,1,187.5,62.5
CENTRO ESPAÑOL,ITALIANO DE JOSE C PAZ,0.0,700.0,0.25,1.0,1,1,0.0,175.0
BANCO NACIÓN,CLUB TRES DE FEBRERO BLANCO,700.0,300.0,0.25,1.25,1,1,218.75,93.75
CAZA Y PESCA A,RIVER PLATE,300.0,700.0,0.25,1.25,1,1,93.75,218.75
U.V.V.ADELINA,SAN FERNANDO AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
U.V.V.ADELINA,BANCO NACIÓN,250.0,750.0,0.25,1.25,1,1,78.125,234.375
SAN FERNANDO AZUL,CAZA Y PESCA A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
RIVER PLATE,CLUB TRES DE FEBRERO BLANCO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
BANCO NACIÓN,RIVER PLATE,700.0,300.0,0.25,1.25,1,1,218.75,93.75
CLUB TRES DE FEBRERO BLANCO,SAN FERNANDO AZUL,300.0,700.0,0.25,1.25,1,1,93.75,218.75
CAZA Y PESCA A,U.V.V.ADELINA,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CAZA Y PESCA A,BANCO NACIÓN,650.0,350.0,0.25,1.25,1,1,203.125,109.375
U.V.V.ADELINA,CLUB TRES DE FEBRERO BLANCO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,RIVER PLATE,250.0,750.0,0.25,1.25,1,1,78.125,234.375
BANCO NACIÓN,SAN FERNANDO AZUL,700.0,300.0,0.25,1.25,1,1,218.75,93.75
RIVER PLATE,U.V.V.ADELINA,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CLUB TRES DE FEBRERO BLANCO,CAZA Y PESCA A,250.0,750.0,0.25,1.25,1,1,78.125,234.375
CLUB TRES DE FEBRERO BLANCO,BANCO NACIÓN,250.0,750.0,0.25,1.25,1,1,78.125,234.375
RIVER PLATE,CAZA Y PESCA A,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,U.V.V.ADELINA,650.0,350.0,0.25,1.25,1,1,203.125,109.375
BANCO NACIÓN,U.V.V.ADELINA,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CAZA Y PESCA A,SAN FERNANDO AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
CLUB TRES DE FEBRERO BLANCO,RIVER PLATE,0.0,700.0,0.25,1.25,1,1,0.0,218.75
RIVER PLATE,BANCO NACIÓN,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,CLUB TRES DE FEBRERO BLANCO,700.0,0.0,0.25,1.25,1,1,218.75,0.0
U.V.V.ADELINA,CAZA Y PESCA A,350.0,650.0,0.25,1.25,1,1,109.375,203.125
BANCO NACIÓN,CAZA Y PESCA A,700.0,300.0,0.25,1.25,1,1,218.75,93.75
CLUB TRES DE FEBRERO BLANCO,U.V.V.ADELINA,300.0,700.0,0.25,1.25,1,1,93.75,218.75
RIVER PLATE,SAN FERNANDO AZUL,750.0,250.0,0.25,1.25,1,1,234.375,78.125
SAN FERNANDO AZUL,BANCO NACIÓN,350.0,650.0,0.25,1.25,1,1,109.375,203.125
U.V.V.ADELINA,RIVER PLATE,350.0,650.0,0.25,1.25,1,1,109.375,203.125
CAZA Y PESCA A,CLUB TRES DE FEBRERO BLANCO,750.0,250.0,0.25,1.25,1,1,234.375,78.125
ATLETICO BOULOGNE,UNION VECINAL DE MUNRO,650.0,350.0,0.25,1.25,1,1,203.125,109.375
OBRAS NORTE,CIUDAD DE BUENOS AIRES A,700.0,300.0,0.25,1.25,1,1,218.75,93.75
NAUTICO HACOAJ BLANCO,DEPORTIVO SAN ANDRES,750.0,250.0,0.25,1.25,1,1,234.375,78.125
NAUTICO HACOAJ BLANCO,ATLETICO BOULOGNE,750.0,250.0,0.25,1.25,1,1,234.375,78.125
