Equipo,Puntos
FERROCARRIL OESTE A,63028.125
LANUS A,62743.75
BOCA JUNIORS AZUL,58956.25
RIVER PLATE,54684.375
ESTUDIANTIL PORTEÑO A,51765.625
LOS INDIOS DE MORENO NEGRO,50768.75
GEVP BLANCO,48015.625
SAN LORENZO AZUL,44515.625
QUILMES A.C.,44140.625
RACING CLUB,42390.625
A.F.A.L.P. A,41387.5
PEDRO ECHAGUE AZUL,41290.625
OBRAS CENTRO,40896.875
G.E DE LOMAS DE ZAMORA A,39721.875
DEPORTIVO SAN ANDRES,38990.625
FERROCARRIL OESTE B,38287.5
C.A.S.A PADUA A,37431.25
NAUTICO HACOAJ BLANCO,37318.75
CIUDAD DE BUENOS AIRES A,36871.875
CAZA Y PESCA A,36531.25
PINOCHO BLANCO,35890.625
CLUB TRES DE FEBRERO BLANCO,35821.875
OBRAS NORTE,34550.0
UNIVERSIDAD DE BUENOS AIRES,33343.75
RAMOS MEJIA LTC,33250.0
COLEGIALES BLANCO,33187.5
U.V.V.ADELINA,32859.375
BERAZATEGUI,32765.625
MORON A,32721.875
TEMPERLEY,32640.625
CAÑUELAS FC,32640.625
ARGENTINO DE CASTELAR NORTE,32453.125
IMPERIO BLANCO,32015.625
INDEPENDIENTE,31784.375
NAUTICO BUCHARDO A,31575.0
BANCO NACIÓN,31562.5
VELEZ SARSFIELD BLANCO,31293.75
BANADE,31231.25
JOSE HERNANDEZ A,31143.75
WILDE SPORTING,31062.5
APV,30821.875
SAN FERNANDO AZUL,30312.5
INSTITUCION SARMIENTO VERDE,30265.625
HURACAN DE SAN JUSTO ROJO,29009.375
HEBRAICA,29006.25
UNION FLORIDA,28881.25
"DEPORTIVO CROVARA  ""A""",28734.375
MONTE GRANDE,28687.5
PLATENSE MARRON,28300.0
DEP. MORON BLANCO,28031.25
VILLA MITRE,27843.75
LEANDRO N ALEM,27700.0
ALL BOYS BLANCO,27643.75
TRISTAN SUAREZ,27268.75
DEFENSORES DE BANFIELD,27181.25
OLIMPO,27075.0
IMPERIO NEGRO,26862.5
UNITARIOS DE MARCOS PAZ,26606.25
Club GEI AZUL,26578.125
LAS HERAS A,26281.25
ATLETICO BOULOGNE,25843.75
ARQUITECTURA NEGRO,25656.25
CIUDAD DE BUENOS AIRES B,25562.5
VICTORIA,25087.5
BURZACO FC A,24975.0
ESTUDIANTIL PORTEÑO B,24931.25
COMUNICACIONES,24890.625
ARMENIA,24712.5
COUNTRY BANFIELD A,24687.5
COLEGIALES NEGRO,24287.5
UNION VECINAL DE MUNRO,24265.625
LANUS B,24068.75
BOCA JUNIORS AMARILLO,23800.0
CLARIDAD,23328.125
EL PALOMAR,23168.75
GEVP CELESTE,23100.0
PEDRO ECHAGUE AMARILLO,22743.75
CAZA Y PESCA B,22581.25
MORON B,22506.25
CEDEM,22256.25
BANCO PROVINCIA,22250.0
SOCIAL BECCAR,22146.875
HURACAN DE SAN JUSTO BLANCO,21968.75
EL TALAR,21862.5
DEFENSORES DE HURLINGHAM VERDE,21856.25
CLUB 12 DE OCTUBRE,21850.0
LOS INDIOS DE MORENO BLANCO,21515.625
ALTE. BROWN,21393.75
U.A.I. URQUIZA,21075.0
CENTRO ESPAÑOL,21050.0
VILLA ESPAÑA,20765.625
ITALIANO,20537.5
PINOCHO VERDE,20525.0
C.A.S.A PADUA B,20506.25
NOLTING,20500.0
SAN LORENZO ROJO,20387.5
ARGENTINO DE CASTELAR CENTRO,20362.5
UNLAM A,19737.5
VARELA JRS,19656.25
HARRODS GATH Y CHAVES,19240.625
DEFENSORES DE SANTOS LUGARES,19100.0
INSTITUTO GLEW,18975.0
MACABI,18890.625
NAUTICO HACOAJ AZUL,18800.0
ITALIANO DE JOSE C PAZ,18737.5
CENTRO GALICIA,18715.625
MIDLAND,18381.25
INDEPENDIENTE DE BURZACO,18268.75
LOS ANDES,18262.5
SAN MIGUEL,18056.25
VILLEGAS BASQUET,18012.5
CLUB ATLETICO BERNAL,17943.75
SAN FERNANDO BLANCO,17575.0
SOCIAL LANUS,17431.25
RAMOS MEJIA LTC B,17381.25
NUEVA CHICAGO,17000.0
ITALIANO B,16975.0
17 DE AGOSTO,16912.5
FERROCARRIL OESTE C,16825.0
SPORTIVO VILLA BALLESTER,16565.625
TELEFONOS,16525.0
COOPERARIOS,16518.75
CLUB TRES DE FEBRERO AZUL,16487.5
GEBA,16437.5
COPELLO,16296.875
COOPERATIVA TORTUGUITAS,15975.0
YUPANQUI,15825.0
TALLERES,15300.0
VILLA SAHORES,14962.5
DEPORTIVO CROVARA B,14675.0
JOSE HERNANDEZ B,14462.5
COLON FC,13900.0
Club GEI BLANCO,13875.0
INSTITUCION SARMIENTO BLANCO,13437.5
DEFENSORES DE MORENO,13425.0
CIRCULO URQUIZA AZUL,13412.5
LAS HERAS B,13225.0
SITAS,13050.0
ALTUBE,12587.5
PLATENSE BLANCO,12425.0
G.E DE LOMAS DE ZAMORA B,12412.5
VILLA IDEAL,12325.0
BURZACO FC B,12212.5
SCHOLEM ALEIJEM,11612.5
ARGENTINOS JUNIORS,9912.5
MUNICIPALIDAD DE AVELLANEDA,9650.0
FLORIDA CLUB,9575.0
SIERO BIBLIOTECA,8312.5
MORENO DE QUILMES,7525.0
NAUTICO BUCHARDO B,6537.5
