Equipo,Puntos
A.F.A.L.P. B,48557.49953125
CLUB CEPA,44985.9675
ALL BOYS NEGRO,39924.684375000004
ARQUITECTURA BLANCO,39899.83
CIRCULO URQUIZA BLANCO,39380.775
ARGENTINO DE QUILMES,33137.325000000004
BURZACO FC B,30552.84375
ALL BOYS DE SAAVEDRA,30224.025
EL PORVENIR,30027.31375
PASO DEL REY,29649.262500000004
SPORTIVO HAEDO,27978.600000000006
ALDO BONZI,26007.658750000002
DEFENSORES DE HURLINGHAM  BLANCO,24663.600000000002
JUVENCIA,23127.39
BANCO PROVINCIA B,22612.975781250003
CLUB ATLETICO HURACAN,20897.662500000002
BANADE AMARILLO,19418.100000000002
COUNTRY BANFIELD B,17115.15
MUNICIPALIDAD DE HURLINGHAM,14018.55
"ESTUDIANTIL PORTEÑO ""C""",14009.04140625
VICTORIA FLEX,13768.95
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,12759.337500000001
ALTE. BROWN,11826.40625
U.A.I. URQUIZA,11597.96875
OLIMPO FLEX,10781.550000000001
INSTITUTO GLEW,10589.125
ATLETICO BOULOGNE FLEX,10246.275000000001
RAMOS MEJIA LTC B,9540.4375
SOCIEDAD ATLETICA PABELLON ARGENTINO,9479.4375
TELEFONOS,8833.9375
VILLA SAHORES,8094.71875
LIBRE,7452.745625
ALTUBE,6610.90625
VILLA IDEAL,6503.25
SCHOLEM ALEIJEM,6224.96875
MONTE GRANDE FLEX,5911.9125
FLORIDA CLUB,5106.5625
SIERO BIBLIOTECA,4052.343750000001
