Equipo,Puntos
FERROCARRIL OESTE A,503211.32500000007
PINOCHO BLANCO,468888.40687500004
OBRAS CENTRO,415302.76250000007
BOCA JUNIORS AZUL,409988.025
LANUS A,394735.275
INSTITUCION SARMIENTO VERDE,367840.325
GEVP BLANCO,359673.95625000005
G.E DE LOMAS DE ZAMORA A,352526.5875
CLUB TRES DE FEBRERO BLANCO,348911.42500000005
ARGENTINO DE CASTELAR NORTE,328955.9
ESTUDIANTIL PORTEÑO A,326396.075
RIVER PLATE,326200.4375
OBRAS NORTE,308045.73750000005
WILDE SPORTING,302536.078125
CAZA Y PESCA A,299805.21562500007
QUILMES A.C.,285156.0875
MORON A,270258.075
PRESIDENTE DERQUI,268802.510625
C.A.S.A PADUA A,267241.690625
VELEZ SARSFIELD BLANCO,257228.73125
LOS INDIOS DE MORENO NEGRO,255503.13125
SAN FERNANDO AZUL,247852.53125
CIUDAD DE BUENOS AIRES A,246773.07187500002
SAN LORENZO AZUL,242777.47500000003
TRISTAN SUAREZ,242344.265625
SPORTIVO ESCOBAR,234444.8375
COMUNICACIONES,226311.48390625
CLUB GEI AZUL,219964.39375000002
CLARIDAD,218683.494375
PEDRO ECHAGUE AZUL,218637.72187500002
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,213866.89
A.F.A.L.P. A,204579.234375
ITALIANO,201702.37875
PLATENSE MARRON,199860.14
CLUB SPORTIVO PILAR,195488.88875
BERAZATEGUI,193019.825
VARELA JRS,192271.93
CAÑUELAS FC,187641.79375
SAN MIGUEL,187543.17718750003
ARQUITECTURA NEGRO,185538.8225
IMPERIO BLANCO,183704.66250000003
RACING CLUB,182779.084375
TEMPERLEY,182414.903125
HURACAN DE SAN JUSTO ROJO,179906.500625
MONTE GRANDE,179403.94125
ARGENTINO DE CASTELAR CENTRO,176105.83906250002
DEFENSORES DE HURLINGHAM VERDE,175896.331875
CLUB ATLETICO PILAR,174776.49
SOCIAL BECCAR,174347.681875
VICTORIA,172461.92546875
UNION FLORIDA,171851.34375
APV,171097.24000000002
INDEPENDIENTE,169770.72812500002
DEP. MORON BLANCO,164488.79499999998
HARRODS GATH Y CHAVES,163999.88375
ATLETICO BOULOGNE,162625.16875
JOSE HERNANDEZ A,161686.015625
U.V.V.ADELINA,158897.28984375
FERROCARRIL OESTE B,158420.91546875
BURZACO FC A,158207.135
BANCO PROVINCIA,156947.12671875
CLUB SOCIAL ALEJANDRO KORN,156179.36828125
NAUTICO HACOAJ BLANCO,156167.399375
EL TALAR,156140.929375
COLEGIALES BLANCO,152818.474375
NAUTICO BUCHARDO A,152547.07437500003
MIDLAND,151096.05875000003
"DEPORTIVO CROVARA  ""A""",150102.19703125
UNION VECINAL DE MUNRO,149283.55093750003
ALL BOYS BLANCO,148948.01734375
UNIVERSIDAD DE BUENOS AIRES,148510.88140625
COUNTRY BANFIELD A,147843.36828125
UNITARIOS DE MARCOS PAZ,145474.809375
VILLA MITRE,144165.50875
VILLEGAS BASQUET,143810.7534375
BANADE,143663.72296875
NOLTING,142465.699375
HEBRAICA,142301.38093749998
ARMENIA,140041.1796875
CEDEM,139551.775625
CIUDAD DE BUENOS AIRES B,139414.46937500002
OLIMPO,137793.119375
DEPORTIVO SAN ANDRES,137718.69828125
CLUB TRES DE FEBRERO AZUL,137525.31265625003
LOS INDIOS DE MORENO BLANCO,137510.4296875
DEFENSORES DE BANFIELD,137491.47999999998
BANCO NACIÓN,136495.343125
MACABI,135814.69828125002
CENTRO GALICIA,133744.56671875
LOBOS ATHLETIC CLUB,132075.76984375
RAMOS MEJIA LTC,131433.7325
LOS ANDES,131024.689375
COPELLO,131007.81671875
GEBA,130745.71265625
SPORTIVO VILLA BALLESTER,129549.22875000001
LANUS B,128678.68687500001
GEVP CELESTE,126892.55687500001
PORTEÑO ATLETICO CLUB,124823.80375
COOPERATIVA TORTUGUITAS,124523.17640625
ESTUDIANTIL PORTEÑO B,121629.3740625
BOCA JUNIORS AMARILLO,121500.50515625
CLUB ATLETICO BERNAL,118687.76781250001
ARGENTINOS JUNIORS,118087.4271875
INSTITUCION SARMIENTO BLANCO,117616.07187500001
17 DE AGOSTO,117374.87000000002
LAS HERAS A,116984.881875
COOPERARIOS,115517.943125
INDEPENDIENTE DE BURZACO,114769.64890624999
LEANDRO N ALEM,114607.65187500001
CAZA Y PESCA B,111932.96687500001
EL PALOMAR,110586.87015624999
MORON B,110190.56125
CIRCULO URQUIZA AZUL,110134.194375
C.A.S.A PADUA B,108100.65890625
CLUB PORTUGUES DEL GRAN BUENOS AIRES,107864.86656250001
DEFENSORES DE SANTOS LUGARES,107816.8125
ITALIANO B,107222.074375
VELEZ SARSFIELD AZUL,105700.43796875
JUVENTUD UNIDA,105629.00343750001
G.E DE LOMAS DE ZAMORA B,105535.24109375001
UNLAM A,104685.9328125
CLUB SOCIAL EZEIZA,103642.58015625
GUILLON BASQUET,103485.58453125
SPORTIVO ALSINA,103478.20578125
CENTRO ESPAÑOL,103276.72625
YUPANQUI,102564.10546875
VILLA ESPAÑA,101718.9271875
SOCIAL LANUS,100112.5546875
SITAS,98171.11796875001
DEFENSORES DE GLEW,98163.225
FERROCARRIL OESTE C,96933.04984374999
ESTRELLA DE BOEDO,96833.7440625
SAN LORENZO ROJO,93185.89171875
CLUB GEI BLANCO,91353.78
IMPERIO NEGRO,89876.31406250001
PLATENSE BLANCO,89144.49515624999
MORENO DE QUILMES,86249.79875000002
COLEGIALES NEGRO,85813.15968750001
COLON FC,84954.1059375
BELLA VISTA,83634.45984375001
PEDRO ECHAGUE AMARILLO,81921.541875
TAPONAZO  FUTBOL CLUB,81455.949375
MUNICIPALIDAD DE AVELLANEDA,80815.57125000001
LA UNION,80651.18906250001
CIUDADELA NORTE,80156.9753125
ITALIANO DE JOSE C PAZ,79745.01796875
PINOCHO VERDE,79072.70703125
RACING ANEXO,78277.64906250002
DEFENSORES DE MORENO,78011.48906250001
JOSE HERNANDEZ B,76520.7790625
SAN FERNANDO BLANCO,75892.48171875
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,75785.77015625002
NAUTICO HACOAJ AZUL,72865.87062500001
CLUB ATLETICO PAMPERO,72630.12125
LUZ Y ARTE,69728.76484375
LAS HERAS B,69403.92953125
CLUB EL FOGON,69258.321875
CLUB 12 DE OCTUBRE,68921.27437500001
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,66378.51609375
NAUTICO BUCHARDO B,63748.12578125
DEP. MORON ROJO,62107.277500000004
DEPORTIVO CROVARA B,61849.22203125
CLUB SOCIAL Y DEPORTIVO ARENAL,60769.24125
HURACAN DE SAN JUSTO BLANCO,58012.8740625
TALLERES,57405.787500000006
NUEVA CHICAGO,53593.97031250001
INDEPENDIENTE DE ESCOBAR,52678.08125
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,51521.27343750001
SAN MIGUEL BLANCO,49019.67
