anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,BP_LOCAL,BP_VISITA,ORP_LOCAL,ORP_VISITA,peso_nivel,peso_anio,peso_ronda,peso_fase,LocalSuma,VisitaSuma
2023,JUVENILES,Playoff,SEMIFINAL,3,SUR,TAPONAZO  FUTBOL CLUB-CLUB  ATLETICO Y PROGRESO DE BRANDSEN,1,10/12/2023,TAPONAZO  FUTBOL CLUB,70,CLUB  ATLETICO Y PROGRESO DE BRANDSEN,67,650,350,-73.5,-72.0,0.75,0.75,6,0.75,1459.265625,703.6875
2023,JUVENILES,Playoff,SEMIFINAL,3,SUR,CLUB SOCIAL EZEIZA-TALLERES,1,10/12/2023,CLUB SOCIAL EZEIZA,54,TALLERES,63,350,650,-76.5,-42.0,0.75,0.75,6,0.75,692.296875,1539.0
2023,JUVENILES,Playoff,FINAL,3,SUR,TAPONAZO  FUTBOL CLUB-TALLERES,1,17/12/2023,TAPONAZO  FUTBOL CLUB,42,TALLERES,44,350,650,-76.5,-72.0,0.75,0.75,6,0.75,692.296875,1463.0625
2023,JUVENILES,Playoff,SEMIFINAL,3,SUR,SOCIAL LANUS-CLUB EL FOGON,1,10/12/2023,SOCIAL LANUS,85,CLUB EL FOGON,46,750,250,-81.0,-4.5,0.75,0.75,6,0.75,1693.40625,621.421875
2023,JUVENILES,Playoff,SEMIFINAL,3,SUR,COLON FC-LA UNION,1,10/12/2023,COLON FC,66,LA UNION,80,300,700,-78.0,-30.0,0.75,0.75,6,0.75,561.9375,1695.9375
2023,JUVENILES,Playoff,FINAL,3,SUR,SOCIAL LANUS-LA UNION,1,17/12/2023,SOCIAL LANUS,79,LA UNION,55,750,250,-78.0,-4.5,0.75,0.75,6,0.75,1701.0,621.421875
2023,JUVENILES,Playoff,CUARTOS DE FINAL,2,NORTE,U.V.V.ADELINA-NAUTICO HACOAJ AZUL,1,3/12/2023,U.V.V.ADELINA,71,NAUTICO HACOAJ AZUL,57,700,300,-43.5,99.0,0.85,0.75,4,0.75,1255.5562499999999,763.0875
2023,JUVENILES,Playoff,CUARTOS DE FINAL,2,NORTE,COOPERATIVA TORTUGUITAS-PLATENSE BLANCO,1,3/12/2023,COOPERATIVA TORTUGUITAS,66,PLATENSE BLANCO,75,350,650,-51.0,-31.5,0.85,0.75,4,0.75,571.8375,1182.88125
2023,JUVENILES,Playoff,CUARTOS DE FINAL,2,NORTE,HEBRAICA-CLUB TRES DE FEBRERO AZUL,1,3/12/2023,HEBRAICA,62,CLUB TRES DE FEBRERO AZUL,28,750,250,21.0,87.0,0.85,0.75,4,0.75,1474.5375,644.5124999999999
2023,JUVENILES,Playoff,CUARTOS DE FINAL,2,NORTE,VICTORIA-DEPORTIVO SAN ANDRES,1,3/12/2023,VICTORIA,60,DEPORTIVO SAN ANDRES,62,350,650,85.5,106.5,0.85,0.75,4,0.75,832.89375,1446.8062499999999
2023,JUVENILES,Playoff,SEMIFINAL,2,NORTE,U.V.V.ADELINA-PLATENSE BLANCO,1,10/12/2023,U.V.V.ADELINA,80,PLATENSE BLANCO,59,750,250,-51.0,99.0,0.85,0.75,6,0.75,2005.25625,1001.19375
2023,JUVENILES,Playoff,SEMIFINAL,2,NORTE,HEBRAICA-DEPORTIVO SAN ANDRES,1,10/12/2023,HEBRAICA,65,DEPORTIVO SAN ANDRES,40,750,250,85.5,87.0,0.85,0.75,6,0.75,2396.840625,966.76875
2023,JUVENILES,Playoff,FINAL,2,NORTE,HEBRAICA-U.V.V.ADELINA,1,17/12/2023,HEBRAICA,85,U.V.V.ADELINA,54,750,250,99.0,87.0,0.85,0.75,6,0.75,2435.56875,966.76875
2023,JUVENILES,Playoff,CUARTOS DE FINAL,3,OESTE,ITALIANO DE JOSE C PAZ-DEP. MORON ROJO,1,10/12/2023,ITALIANO DE JOSE C PAZ,44,DEP. MORON ROJO,38,650,350,-93.0,6.0,0.75,0.75,4,0.75,939.9375,600.75
2023,JUVENILES,Playoff,CUARTOS DE FINAL,3,OESTE,"DEFENSORES DE MORENO-ESTUDIANTIL PORTEÑO ""C""",1,10/12/2023,DEFENSORES DE MORENO,71,"ESTUDIANTIL PORTEÑO ""C""",39,750,250,-139.5,-100.5,0.75,0.75,4,0.75,1030.21875,252.28125
2023,JUVENILES,Playoff,SEMIFINAL,3,OESTE,DEFENSORES DE MORENO-ITALIANO DE JOSE C PAZ,2,10/12/2023,DEFENSORES DE MORENO,58,ITALIANO DE JOSE C PAZ,42,700,300,6.0,-100.5,0.75,0.75,6,0.75,1787.0625,504.984375
