Equipo,Puntos
LANUS A,46121.25
FERROCARRIL OESTE A,46090.625
BOCA JUNIORS AZUL,43616.25
RIVER PLATE,39259.375
LOS INDIOS DE MORENO NEGRO,36396.25
GEVP BLANCO,30867.65625
ESTUDIANTIL PORTEÑO A,29433.125
OBRAS CENTRO,28586.875
PEDRO ECHAGUE AZUL,28280.625
A.F.A.L.P. A,27997.5
G.E DE LOMAS DE ZAMORA A,26371.875
CIUDAD DE BUENOS AIRES A,25491.875
SAN LORENZO AZUL,25384.375
QUILMES A.C.,24724.375
RACING CLUB,23658.125
FERROCARRIL OESTE B,22852.96875
OBRAS NORTE,22545.0
DEPORTIVO SAN ANDRES,21691.875
U.V.V.ADELINA,21574.375
MORON A,21399.375
INDEPENDIENTE,20921.875
NAUTICO HACOAJ BLANCO,20647.5
C.A.S.A PADUA A,20356.25
CLUB TRES DE FEBRERO BLANCO,19996.875
CAZA Y PESCA A,19600.0
PINOCHO BLANCO,19419.375
UNIVERSIDAD DE BUENOS AIRES,19406.125
HURACAN DE SAN JUSTO ROJO,18809.375
NAUTICO BUCHARDO A,18667.53125
RAMOS MEJIA LTC,18198.75
BANADE,17834.28125
COLEGIALES BLANCO,17690.0
TEMPERLEY,17523.125
BERAZATEGUI,17494.375
CAÑUELAS FC,17349.375
ARGENTINO DE CASTELAR NORTE,17303.125
HEBRAICA,17205.1875
IMPERIO BLANCO,17123.125
VELEZ SARSFIELD BLANCO,17020.0
BANCO NACIÓN,16928.75
APV,16902.71875
JOSE HERNANDEZ A,16842.46875
WILDE SPORTING,16572.5
SAN FERNANDO AZUL,16218.75
INSTITUCION SARMIENTO VERDE,16176.875
DEFENSORES DE BANFIELD,16173.90625
DEP. MORON BLANCO,16114.65625
ALL BOYS BLANCO,15868.6875
UNION FLORIDA,15787.125
OLIMPO,15594.3125
PLATENSE MARRON,15465.59375
"DEPORTIVO CROVARA  ""A""",15423.125
MONTE GRANDE,15272.5
VILLA MITRE,14842.5
LEANDRO N ALEM,14815.5
IMPERIO NEGRO,14752.34375
TRISTAN SUAREZ,14717.78125
UNITARIOS DE MARCOS PAZ,14296.75
LAS HERAS A,14152.03125
CLUB GEI AZUL,14093.125
BOCA JUNIORS AMARILLO,14079.0
ARMENIA,13973.46875
CIUDAD DE BUENOS AIRES B,13921.09375
ATLETICO BOULOGNE,13802.5
ARQUITECTURA NEGRO,13670.0
VICTORIA,13489.125
EL PALOMAR,13384.96875
COUNTRY BANFIELD A,13368.59375
BURZACO FC A,13316.65625
COLEGIALES NEGRO,13293.40625
ESTUDIANTIL PORTEÑO B,13281.15625
COMUNICACIONES,13273.59375
LANUS B,13004.15625
PEDRO ECHAGUE AMARILLO,12896.71875
CEDEM,12835.78125
UNION VECINAL DE MUNRO,12825.625
CLARIDAD,12626.09375
CAZA Y PESCA B,12595.09375
MORON B,12511.84375
BANCO PROVINCIA,12259.8125
GEVP CELESTE,12163.9375
HURACAN DE SAN JUSTO BLANCO,12106.96875
CLUB 12 DE OCTUBRE,12051.75
EL TALAR,11921.46875
ALTE. BROWN,11826.40625
SOCIAL BECCAR,11769.0
CENTRO ESPAÑOL,11727.25
DEFENSORES DE HURLINGHAM VERDE,11668.15625
U.A.I. URQUIZA,11597.96875
C.A.S.A PADUA B,11552.78125
LOS INDIOS DE MORENO BLANCO,11544.53125
PINOCHO VERDE,11225.9375
ARGENTINO DE CASTELAR CENTRO,11167.71875
SAN LORENZO ROJO,11060.40625
ITALIANO,10998.53125
VILLA ESPAÑA,10948.125
NOLTING,10798.75
DEFENSORES DE SANTOS LUGARES,10597.75
INSTITUTO GLEW,10589.125
UNLAM A,10566.0625
VARELA JRS,10488.4375
HARRODS GATH Y CHAVES,10249.0
NAUTICO HACOAJ AZUL,10178.625
MACABI,10067.8125
ITALIANO DE JOSE C PAZ,10015.28125
CENTRO GALICIA,9965.65625
MIDLAND,9794.3125
VILLEGAS BASQUET,9746.53125
INDEPENDIENTE DE BURZACO,9746.375
CLUB ATLETICO BERNAL,9567.4375
RAMOS MEJIA LTC B,9540.4375
SAN FERNANDO BLANCO,9469.5625
NUEVA CHICAGO,9405.53125
SAN MIGUEL,9329.53125
COOPERARIOS,9319.28125
SOCIAL LANUS,9318.8125
ITALIANO B,9235.1875
FERROCARRIL OESTE C,9156.3125
LOS ANDES,9044.343750000002
17 DE AGOSTO,8979.34375
CLUB TRES DE FEBRERO AZUL,8947.90625
SPORTIVO VILLA BALLESTER,8834.65625
TELEFONOS,8833.9375
GEBA,8770.78125
COPELLO,8750.3125
COOPERATIVA TORTUGUITAS,8700.6875
YUPANQUI,8437.1875
VILLA SAHORES,8094.71875
DEPORTIVO CROVARA B,7867.9375
JOSE HERNANDEZ B,7741.09375
CLUB GEI BLANCO,7527.5625
TALLERES,7458.750000000001
COLON FC,7385.625
INSTITUCION SARMIENTO BLANCO,7223.40625
CIRCULO URQUIZA AZUL,7217.09375
LAS HERAS B,7163.4375
SITAS,6851.0
PLATENSE BLANCO,6745.9375
ALTUBE,6610.90625
G.E DE LOMAS DE ZAMORA B,6582.46875
DEFENSORES DE MORENO,6544.687500000001
VILLA IDEAL,6503.25
SCHOLEM ALEIJEM,6224.96875
BURZACO FC B,5953.593750000001
ARGENTINOS JUNIORS,5356.84375
FLORIDA CLUB,5106.5625
MUNICIPALIDAD DE AVELLANEDA,4704.375000000001
MORENO DE QUILMES,4157.5625
SIERO BIBLIOTECA,4052.343750000001
NAUTICO BUCHARDO B,3627.90625
CLUB EL FOGON,0.0
CLUB CEPA,0.0
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,0.0
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,0.0
CLUB PORTUGUES DEL GRAN BUENOS AIRES,0.0
CLUB SOCIAL ALEJANDRO KORN,0.0
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,0.0
CLUB ATLETICO HURACAN,0.0
BANCO PROVINCIA B,0.0
BELLA VISTA,0.0
ATLETICO BOULOGNE FLEX,0.0
BANADE AMARILLO,0.0
CIRCULO URQUIZA BLANCO,0.0
CIUDADELA NORTE,0.0
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,0.0
ARQUITECTURA BLANCO,0.0
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,0.0
ALDO BONZI,0.0
ALL BOYS NEGRO,0.0
A.F.A.L.P. B,0.0
ALL BOYS DE SAAVEDRA,0.0
ARGENTINO DE QUILMES,0.0
CLUB SOCIAL EZEIZA,0.0
CLUB SOCIAL Y DEPORTIVO ARENAL,0.0
DEFENSORES DE HURLINGHAM  BLANCO,0.0
DEFENSORES DE GLEW,0.0
COUNTRY BANFIELD B,0.0
CLUB SPORTIVO PILAR,0.0
CLUB ATLETICO PAMPERO,0.0
CLUB ATLETICO PILAR,0.0
INDEPENDIENTE DE ESCOBAR,0.0
LUZ Y ARTE,0.0
ESTRELLA DE BOEDO,0.0
EL PORVENIR,0.0
"ESTUDIANTIL PORTEÑO ""C""",0.0
DEP. MORON ROJO,0.0
GUILLON BASQUET,0.0
LA UNION,0.0
JUVENCIA,0.0
JUVENTUD UNIDA,0.0
MUNICIPALIDAD DE HURLINGHAM,0.0
MONTE GRANDE FLEX,0.0
LOBOS ATHLETIC CLUB,0.0
RACING ANEXO,0.0
OLIMPO FLEX,0.0
PASO DEL REY,0.0
PORTEÑO ATLETICO CLUB,0.0
PRESIDENTE DERQUI,0.0
SAN MIGUEL BLANCO,0.0
TAPONAZO  FUTBOL CLUB,0.0
SPORTIVO ESCOBAR,0.0
SPORTIVO HAEDO,0.0
SOCIEDAD ATLETICA PABELLON ARGENTINO,0.0
SPORTIVO ALSINA,0.0
VELEZ SARSFIELD AZUL,0.0
VICTORIA FLEX,0.0
