anio,categoria,fase,ronda,nivel,zona,grupo,jornada,fecha,local,ptsL,visitante,ptsV,BP_LOCAL,BP_VISITA,ORP_LOCAL,ORP_VISITA,peso_nivel,peso_anio,peso_ronda,peso_fase,LocalSuma,VisitaSuma
2022,JUVENILES,FINAL FOUR,SEMIFINAL,2,INTERCONFERENCIA,COOPERARIOS-EL TALAR,1,18/12/2022,COOPERARIOS,57,EL TALAR,81,250,750,29.25,-17.25,0.85,0.5,6,1.0,712.0875,1868.5124999999998
2022,JUVENILES,FINAL FOUR,SEMIFINAL,2,INTERCONFERENCIA,VICTORIA-ARGENTINO DE CASTELAR CENTRO,1,18/12/2022,VICTORIA,92,ARGENTINO DE CASTELAR CENTRO,64,750,250,15.75,56.25,0.85,0.5,6,1.0,1952.6625,780.9375
2022,JUVENILES,FINAL FOUR,SEMIFINAL,1,INTERCONFERENCIA,SAN LORENZO AZUL-RACING CLUB,1,18/12/2022,SAN LORENZO AZUL,78,RACING CLUB,62,700,300,132.75,135.75,1.0,0.5,6,1.0,2498.25,1307.25
2022,JUVENILES,FINAL FOUR,SEMIFINAL,1,INTERCONFERENCIA,PRESIDENTE DERQUI-SPORTIVO ESCOBAR,1,18/12/2022,PRESIDENTE DERQUI,64,SPORTIVO ESCOBAR,67,350,650,-146.25,-141.75,1.0,0.5,6,1.0,611.25,1524.75
2022,JUVENILES,FINAL FOUR,FINAL,2,INTERCONFERENCIA,EL TALAR-VICTORIA,2,20/12/2022,EL TALAR,74,VICTORIA,63,700,300,56.25,29.25,0.85,0.5,6,1.0,1928.4374999999998,839.5875
2022,JUVENILES,FINAL FOUR,FINAL,1,INTERCONFERENCIA,SAN LORENZO AZUL-SPORTIVO ESCOBAR,2,20/12/2022,SAN LORENZO AZUL,61,SPORTIVO ESCOBAR,65,350,650,-146.25,135.75,1.0,0.5,6,1.0,611.25,2357.25
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,FERROCARRIL OESTE A-INSTITUCION SARMIENTO VERDE,1,20/11/2022,FERROCARRIL OESTE A,80,INSTITUCION SARMIENTO VERDE,50,750,250,87.75,152.25,2.0,0.5,3,1.0,2513.25,1206.75
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS NORTE-ARGENTINO DE CASTELAR NORTE,1,20/11/2022,OBRAS NORTE,78,ARGENTINO DE CASTELAR NORTE,66,700,300,101.25,129.75,2.0,0.5,3,1.0,2403.75,1289.25
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,G.E DE LOMAS DE ZAMORA A-CIUDAD DE BUENOS AIRES A,1,20/11/2022,G.E DE LOMAS DE ZAMORA A,64,CIUDAD DE BUENOS AIRES A,68,350,650,137.25,138.75,2.0,0.5,3,1.0,1461.75,2366.25
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,SAN FERNANDO AZUL-LANUS A,1,20/11/2022,SAN FERNANDO AZUL,72,LANUS A,61,700,300,153.75,89.25,2.0,0.5,3,1.0,2561.25,1167.75
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-LOS INDIOS DE MORENO NEGRO,1,20/11/2022,BOCA JUNIORS AZUL,98,LOS INDIOS DE MORENO NEGRO,69,750,250,147.75,150.75,2.0,0.5,3,1.0,2693.25,1202.25
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS CENTRO-C.A.S.A PADUA A,1,20/11/2022,OBRAS CENTRO,84,C.A.S.A PADUA A,50,750,250,120.75,143.25,2.0,0.5,3,1.0,2612.25,1179.75
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,GEVP BLANCO-WILDE SPORTING,1,20/11/2022,GEVP BLANCO,73,WILDE SPORTING,53,750,250,90.75,146.25,2.0,0.5,3,1.0,2522.25,1188.75
2022,JUVENILES,Playoff,OCTAVOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,RIVER PLATE-VELEZ SARSFIELD BLANCO,1,20/11/2022,RIVER PLATE,72,VELEZ SARSFIELD BLANCO,67,650,350,96.75,149.25,2.0,0.5,3,1.0,2240.25,1497.75
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS CENTRO-CIUDAD DE BUENOS AIRES A,2,27/11/2022,OBRAS CENTRO,78,CIUDAD DE BUENOS AIRES A,68,700,300,137.25,143.25,2.0,0.5,4,1.0,3349.0,1773.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,FERROCARRIL OESTE A-RIVER PLATE,2,27/11/2022,FERROCARRIL OESTE A,85,RIVER PLATE,80,650,350,149.25,152.25,2.0,0.5,4,1.0,3197.0,2009.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-SAN FERNANDO AZUL,2,27/11/2022,BOCA JUNIORS AZUL,68,SAN FERNANDO AZUL,56,700,300,89.25,150.75,2.0,0.5,4,1.0,3157.0,1803.0
2022,JUVENILES,Playoff,CUARTOS DE FINAL,INTERCONFERENCIA,INTERCONFERENCIA,OBRAS NORTE-GEVP BLANCO,2,27/11/2022,OBRAS NORTE,70,GEVP BLANCO,65,650,350,146.25,129.75,2.0,0.5,4,1.0,3185.0,1919.0
2022,JUVENILES,Playoff,SEMIFINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-OBRAS NORTE,3,11/12/2022,BOCA JUNIORS AZUL,91,OBRAS NORTE,75,700,300,129.75,150.75,2.0,0.5,6,1.0,4978.5,2704.5
2022,JUVENILES,Playoff,SEMIFINAL,INTERCONFERENCIA,INTERCONFERENCIA,FERROCARRIL OESTE A-OBRAS CENTRO,3,11/12/2022,FERROCARRIL OESTE A,77,OBRAS CENTRO,84,350,650,143.25,152.25,2.0,0.5,6,1.0,2959.5,4813.5
2022,JUVENILES,Playoff,FINAL,INTERCONFERENCIA,INTERCONFERENCIA,BOCA JUNIORS AZUL-OBRAS CENTRO,4,,BOCA JUNIORS AZUL,87,OBRAS CENTRO,62,750,250,143.25,150.75,2.0,0.5,6,1.0,5359.5,2404.5
