Equipo,Puntos
NAUTICO BUCHARDO B,36922.1315625
DEPORTIVO CROVARA B,36865.4875
RACING ANEXO,35030.371875000004
CLUB ATLETICO PAMPERO,32829.66375000001
DEP. MORON ROJO,32206.7171875
TALLERES,31680.539062500004
NUEVA CHICAGO,31043.401562500003
A.F.A.L.P. B,28249.666562500006
LUZ Y ARTE,26756.015625
BANCO PROVINCIA B,22719.309375000004
SAN MIGUEL BLANCO,19375.59375
CIRCULO URQUIZA BLANCO,17657.015625
ALL BOYS NEGRO,14537.671875000002
"ESTUDIANTIL PORTEÑO ""C""",14023.490625
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,13954.753125000001
ALTE. BROWN,11826.40625
U.A.I. URQUIZA,11597.96875
INSTITUTO GLEW,10589.125
COUNTRY CIB,10028.616250000001
RAMOS MEJIA LTC B,9540.4375
TELEFONOS,8833.9375
VILLA SAHORES,8094.71875
ALTUBE,6610.90625
VILLA IDEAL,6503.25
SCHOLEM ALEIJEM,6224.96875
BURZACO FC B,5953.593750000001
FLORIDA CLUB,5106.5625
SIERO BIBLIOTECA,4052.343750000001
LIBRE,457.76250000000005
ARGENTINO DE QUILMES,0.0
ARQUITECTURA BLANCO,0.0
ALL BOYS DE SAAVEDRA,0.0
ALDO BONZI,0.0
ATLETICO BOULOGNE FLEX,0.0
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,0.0
DEFENSORES DE HURLINGHAM  BLANCO,0.0
COUNTRY BANFIELD B,0.0
CLUB CEPA,0.0
CLUB SOCIAL Y DEPORTIVO ARENAL,0.0
CLUB ATLETICO HURACAN,0.0
BANADE AMARILLO,0.0
EL PORVENIR,0.0
INDEPENDIENTE DE ESCOBAR,0.0
MUNICIPALIDAD DE HURLINGHAM,0.0
MONTE GRANDE FLEX,0.0
JUVENCIA,0.0
PASO DEL REY,0.0
OLIMPO FLEX,0.0
SPORTIVO HAEDO,0.0
SOCIEDAD ATLETICA PABELLON ARGENTINO,0.0
VICTORIA FLEX,0.0
