Equipo,Puntos
FERROCARRIL OESTE A,151654.425
BOCA JUNIORS AZUL,128570.375
GEVP BLANCO,121751.35625
LANUS A,118351.40000000001
OBRAS CENTRO,110790.5
RIVER PLATE,109818.975
PINOCHO BLANCO,106965.334375
OBRAS NORTE,104848.95
G.E DE LOMAS DE ZAMORA A,100845.125
WILDE SPORTING,97205.1
ARGENTINO DE CASTELAR NORTE,90911.575
VELEZ SARSFIELD BLANCO,87074.1
SAN FERNANDO AZUL,86230.2
CIUDAD DE BUENOS AIRES A,86170.475
C.A.S.A PADUA A,85108.55
INSTITUCION SARMIENTO VERDE,82818.275
LOS INDIOS DE MORENO NEGRO,81639.75
ESTUDIANTIL PORTEÑO A,79905.75
CAZA Y PESCA A,79652.00625
CLUB TRES DE FEBRERO BLANCO,78475.1
QUILMES A.C.,75751.6125
MORON A,68984.15
SAN LORENZO AZUL,67871.2875
CLUB GEI AZUL,64583.1
A.F.A.L.P. A,64511.512500000004
PEDRO ECHAGUE AZUL,63526.1125
RACING CLUB,63069.475000000006
CAÑUELAS FC,61855.4
INDEPENDIENTE,59152.5875
PRESIDENTE DERQUI,59062.345
IMPERIO BLANCO,58629.8
FERROCARRIL OESTE B,56009.46875
VICTORIA,54343.2828125
TRISTAN SUAREZ,54139.275
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,53565.72125
COLEGIALES BLANCO,53231.950000000004
BERAZATEGUI,53069.4375
U.V.V.ADELINA,52008.787500000006
RAMOS MEJIA LTC,51100.4625
PLATENSE MARRON,51094.96375
SPORTIVO ESCOBAR,50806.2875
HURACAN DE SAN JUSTO ROJO,50652.75
UNION FLORIDA,50640.9625
UNIVERSIDAD DE BUENOS AIRES,50209.76875
ITALIANO,49885.80375
HEBRAICA,49880.659062499995
DEPORTIVO SAN ANDRES,49834.0125
SAN MIGUEL,49794.8903125
TEMPERLEY,49319.912500000006
NAUTICO HACOAJ BLANCO,49297.45
17 DE AGOSTO,49114.567500000005
ARQUITECTURA NEGRO,48764.5225
ARGENTINO DE CASTELAR CENTRO,48377.4634375
NAUTICO BUCHARDO A,48203.83625
APV,47656.05625
JOSE HERNANDEZ A,47627.24375
COMUNICACIONES,47608.69125
EL TALAR,47593.665625
CLARIDAD,46997.47875
MONTE GRANDE,46033.46875
ATLETICO BOULOGNE,44907.4625
HARRODS GATH Y CHAVES,44318.221875
UNION VECINAL DE MUNRO,44169.6459375
DEFENSORES DE BANFIELD,44072.60625
BANADE,44064.193750000006
VARELA JRS,43208.94
BANCO NACIÓN,42995.3625
VILLA MITRE,42738.5075
NOLTING,42711.9575
GEVP CELESTE,42219.8075
"DEPORTIVO CROVARA  ""A""",41849.1375
OLIMPO,41788.4
BURZACO FC A,41280.72875
ARMENIA,41058.920625
SOCIAL BECCAR,41026.6875
MIDLAND,41007.5225
CIUDAD DE BUENOS AIRES B,40429.566875000004
ALL BOYS BLANCO,40222.7
BANCO PROVINCIA,39341.713749999995
LOS ANDES,39106.30375
UNITARIOS DE MARCOS PAZ,38891.175
DEFENSORES DE HURLINGHAM VERDE,38854.613750000004
COOPERARIOS,38825.205625
BOCA JUNIORS AMARILLO,38779.716875
MACABI,38445.42375
CENTRO GALICIA,38309.5490625
MORON B,38248.659062499995
ESTUDIANTIL PORTEÑO B,37563.58375
DEP. MORON BLANCO,37437.15375
CLUB TRES DE FEBRERO AZUL,36862.9515625
EL PALOMAR,36689.4134375
UNLAM A,36688.676875
LAS HERAS A,36545.661250000005
VILLEGAS BASQUET,36324.96875
LEANDRO N ALEM,36242.525
CEDEM,34790.61125
CAZA Y PESCA B,34586.9490625
