Equipo,Puntos
MUNICIPALIDAD DE AVELLANEDA,35431.59
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,35034.1475
PINOCHO VERDE,34277.1
17 DE AGOSTO,34126.04
JOSE HERNANDEZ B,33964.82875
COLON FC,33236.22125
ARGENTINO DE QUILMES,33137.325000000004
PEDRO ECHAGUE AMARILLO,33078.3375
TAPONAZO  FUTBOL CLUB,32601.075000000004
CLUB EL FOGON,32037.305
SAN FERNANDO BLANCO,31582.175
LA UNION,31154.662500000006
ITALIANO DE JOSE C PAZ,30376.125
CIUDADELA NORTE,30258.43
ALL BOYS DE SAAVEDRA,30224.025
EL PORVENIR,30027.31375
DEP. MORON ROJO,29903.302499999998
COLEGIALES NEGRO,29902.603750000002
SAN MIGUEL BLANCO,29656.22625
PASO DEL REY,29649.262500000004
SPORTIVO HAEDO,27978.600000000006
NAUTICO BUCHARDO B,26915.84375
CLUB 12 DE OCTUBRE,26545.350000000006
LAS HERAS B,26386.912500000006
ALDO BONZI,26007.658750000002
TALLERES,25857.0
ALL BOYS NEGRO,25440.675000000003
DEPORTIVO CROVARA B,24995.48375
DEFENSORES DE HURLINGHAM  BLANCO,24663.600000000002
BURZACO FC B,24599.25
JUVENCIA,23127.39
NUEVA CHICAGO,22617.562500000004
NAUTICO HACOAJ AZUL,22020.375
CIRCULO URQUIZA BLANCO,21775.65
HURACAN DE SAN JUSTO BLANCO,20904.0
CLUB ATLETICO HURACAN,20897.662500000002
A.F.A.L.P. B,20392.125
BANADE AMARILLO,19418.100000000002
COUNTRY BANFIELD B,17115.15
MUNICIPALIDAD DE HURLINGHAM,14018.55
VICTORIA FLEX,13768.95
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,13441.22
CLUB  JUVENTUD  UNIDA  DE LAVALLOL - FLEX,12759.337500000001
OLIMPO FLEX,10781.550000000001
ATLETICO BOULOGNE FLEX,10246.275000000001
SOCIEDAD ATLETICA PABELLON ARGENTINO,9479.4375
LIBRE,6996.08
MONTE GRANDE FLEX,5911.9125
