Equipo,Puntos
PINOCHO BLANCO,211402.76750000002
FERROCARRIL OESTE A,211124.80000000002
INSTITUCION SARMIENTO VERDE,177242.7
OBRAS CENTRO,174527.40000000002
BOCA JUNIORS AZUL,159588.7
ESTUDIANTIL PORTEÑO A,153288.2
CLUB TRES DE FEBRERO BLANCO,152464.7
CAZA Y PESCA A,152351.40000000002
G.E DE LOMAS DE ZAMORA A,148210.9
ARGENTINO DE CASTELAR NORTE,145487.5
LANUS A,144269.2
GEVP BLANCO,143388.1
PRESIDENTE DERQUI,134500.7
WILDE SPORTING,132988.5
TRISTAN SUAREZ,125038.5
C.A.S.A PADUA A,124327.2
COMUNICACIONES,117913.45000000001
QUILMES A.C.,113987.6
RIVER PLATE,110177.6
VELEZ SARSFIELD BLANCO,108608.0
OBRAS NORTE,108084.6
MORON A,106351.0
CLUB ATLETICO PILAR,106168.875
CLARIDAD,104465.70000000001
CLUB SPORTIVO PILAR,103233.20000000001
SAN LORENZO AZUL,102391.95000000001
SAN FERNANDO AZUL,102161.9
SPORTIVO ESCOBAR,101199.0
CIUDAD DE BUENOS AIRES A,101066.20000000001
LOS INDIOS DE MORENO NEGRO,98460.125
ITALIANO,96471.9
PLATENSE MARRON,95746.78
PEDRO ECHAGUE AZUL,94433.30000000002
VARELA JRS,92901.775
DEP. MORON BLANCO,92056.03
CLUB GEI AZUL,91869.25
SAN MIGUEL,90311.67000000001
DEFENSORES DE HURLINGHAM VERDE,89781.25
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,88642.40000000001
SOCIAL BECCAR,87713.26000000001
A.F.A.L.P. A,85805.25
ARGENTINO DE CASTELAR CENTRO,85451.6275
BERAZATEGUI,85130.75
HURACAN DE SAN JUSTO ROJO,83880.125
TEMPERLEY,83180.025
CAÑUELAS FC,80591.15
BURZACO FC A,79105.305
MONTE GRANDE,78983.9825
APV,78894.285
ARQUITECTURA NEGRO,78764.95000000001
CLUB SOCIAL ALEJANDRO KORN,78717.16
COUNTRY BANFIELD A,74013.5325
UNION FLORIDA,72844.55
MIDLAND,72540.48000000001
RACING CLUB,71580.975
EL TALAR,71450.01000000001
VILLEGAS BASQUET,70199.1925
LOBOS ATHLETIC CLUB,68764.26
IMPERIO BLANCO,68551.07500000001
VICTORIA,67969.745
UNION VECINAL DE MUNRO,67911.38500000001
NAUTICO HACOAJ BLANCO,67204.315
BANCO NACIÓN,65991.655
ATLETICO BOULOGNE,65301.5
JOSE HERNANDEZ A,65170.5
U.V.V.ADELINA,65059.85625
BANCO PROVINCIA,64876.91
LANUS B,64763.255000000005
ALL BOYS BLANCO,63683.990000000005
UNITARIOS DE MARCOS PAZ,63113.01375
HARRODS GATH Y CHAVES,63052.91
LOS INDIOS DE MORENO BLANCO,63028.305
PORTEÑO ATLETICO CLUB,62589.41
INDEPENDIENTE DE BURZACO,62219.261249999996
ARMENIA,62087.1725
"DEPORTIVO CROVARA  ""A""",61705.240000000005
INDEPENDIENTE,61563.950000000004
COPELLO,61502.143749999996
BANADE,61491.380000000005
SPORTIVO VILLA BALLESTER,61480.115000000005
COLEGIALES BLANCO,61279.59
NAUTICO BUCHARDO A,61186.005000000005
GEBA,60831.130000000005
CLUB SOCIAL Y DEPORTIVO ARENAL,60769.24125
FERROCARRIL OESTE B,60236.715000000004
COOPERATIVA TORTUGUITAS,59348.5
CLUB TRES DE FEBRERO AZUL,59041.9225
OLIMPO,58776.36
DEFENSORES DE BANFIELD,57236.56
VILLA MITRE,56854.175
SPORTIVO ALSINA,56044.04125
VELEZ SARSFIELD AZUL,55644.54375
UNIVERSIDAD DE BUENOS AIRES,55389.295
JUVENTUD UNIDA,55139.805
CEDEM,54787.125
CIUDAD DE BUENOS AIRES B,54265.335
ARGENTINOS JUNIORS,54110.47125
NOLTING,53999.66
CLUB ATLETICO BERNAL,53904.6
CLUB SOCIAL EZEIZA,53165.13374999999
INDEPENDIENTE DE ESCOBAR,52678.08125
ESTUDIANTIL PORTEÑO B,52231.925
RAMOS MEJIA LTC,51425.495
GEVP CELESTE,51351.365000000005
CIRCULO URQUIZA AZUL,51342.73625
MACABI,51101.700000000004
ESTRELLA DE BOEDO,49967.197499999995
GUILLON BASQUET,49222.4025
LEANDRO N ALEM,49156.51
CENTRO GALICIA,48956.68000000001
LOS ANDES,48796.155
LAS HERAS A,48573.11
G.E DE LOMAS DE ZAMORA B,47518.12875
YUPANQUI,46470.85625
VILLA ESPAÑA,45812.325000000004
ITALIANO B,45511.05
FERROCARRIL OESTE C,45410.149999999994
SITAS,45186.755
INSTITUCION SARMIENTO BLANCO,45068.205
SOCIAL LANUS,45020.137500000004
CLUB CEPA,44985.9675
EL PALOMAR,43838.84
CENTRO ESPAÑOL,43633.525
CLUB PORTUGUES DEL GRAN BUENOS AIRES,43353.911250000005
RACING ANEXO,43328.2575
CAZA Y PESCA B,43234.425
LUZ Y ARTE,43063.94875
COOPERARIOS,42996.655
DEFENSORES DE GLEW,42892.83
BOCA JUNIORS AMARILLO,42683.0625
DEFENSORES DE SANTOS LUGARES,42196.7
DEPORTIVO SAN ANDRES,42047.869999999995
BELLA VISTA,41767.927500000005
HEBRAICA,41710.24625
MORENO DE QUILMES,40225.661250000005
MORON B,40085.37375
ARQUITECTURA BLANCO,39899.83
CLUB ATLETICO PAMPERO,39797.27375
C.A.S.A PADUA B,39106.535
SAN LORENZO ROJO,38301.72875
PLATENSE BLANCO,38140.75875
UNLAM A,38027.536250000005
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,37641.825000000004
DEFENSORES DE MORENO,37322.025
CLUB GEI BLANCO,36831.1875
IMPERIO NEGRO,35914.125
