anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2022;JUVENILES;FINAL FOUR;SEMIFINAL;2;INTERCONFERENCIA;COOPERARIOS-EL TALAR;1;18/12/2022;COOPERARIOS;57;EL TALAR;81
2022;JUVENILES;FINAL FOUR;SEMIFINAL;2;INTERCONFERENCIA;VICTORIA-ARGENTINO DE CASTELAR CENTRO;1;18/12/2022;VICTORIA;92;ARGENTINO DE CASTELAR CENTRO;64
2022;JUVENILES;FINAL FOUR;SEMIFINAL;1;INTERCONFERENCIA;SAN LORENZO AZUL-RACING CLUB;1;18/12/2022;SAN LORENZO AZUL;78;RACING CLUB;62
2022;JUVENILES;FINAL FOUR;SEMIFINAL;1;INTERCONFERENCIA;PRESIDENTE DERQUI-SPORTIVO ESCOBAR;1;18/12/2022;PRESIDENTE DERQUI;64;SPORTIVO ESCOBAR;67
2022;JUVENILES;FINAL FOUR;FINAL;2;INTERCONFERENCIA;EL TALAR-VICTORIA;2;20/12/2022;EL TALAR;74;VICTORIA;63
2022;JUVENILES;FINAL FOUR;FINAL;1;INTERCONFERENCIA;SAN LORENZO AZUL-SPORTIVO ESCOBAR;2;20/12/2022;SAN LORENZO AZUL;61;SPORTIVO ESCOBAR;65
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;FERROCARRIL OESTE A-INSTITUCION SARMIENTO VERDE;1;20/11/2022;FERROCARRIL OESTE A;80;INSTITUCION SARMIENTO VERDE;50
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS NORTE-ARGENTINO DE CASTELAR NORTE;1;20/11/2022;OBRAS NORTE;78;ARGENTINO DE CASTELAR NORTE;66
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;G.E DE LOMAS DE ZAMORA A-CIUDAD DE BUENOS AIRES A;1;20/11/2022;G.E DE LOMAS DE ZAMORA A;64;CIUDAD DE BUENOS AIRES A;68
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;SAN FERNANDO AZUL-LANUS A;1;20/11/2022;SAN FERNANDO AZUL;72;LANUS A;61
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-LOS INDIOS DE MORENO NEGRO;1;20/11/2022;BOCA JUNIORS AZUL;98;LOS INDIOS DE MORENO NEGRO;69
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-C.A.S.A PADUA A;1;20/11/2022;OBRAS CENTRO;84;C.A.S.A PADUA A;50
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;GEVP BLANCO-WILDE SPORTING;1;20/11/2022;GEVP BLANCO;73;WILDE SPORTING;53
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;RIVER PLATE-VELEZ SARSFIELD BLANCO;1;20/11/2022;RIVER PLATE;72;VELEZ SARSFIELD BLANCO;67
2022;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-CIUDAD DE BUENOS AIRES A;2;27/11/2022;OBRAS CENTRO;78;CIUDAD DE BUENOS AIRES A;68
2022;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;FERROCARRIL OESTE A-RIVER PLATE;2;27/11/2022;FERROCARRIL OESTE A;85;RIVER PLATE;80
2022;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-SAN FERNANDO AZUL;2;27/11/2022;BOCA JUNIORS AZUL;68;SAN FERNANDO AZUL;56
2022;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS NORTE-GEVP BLANCO;2;27/11/2022;OBRAS NORTE;70;GEVP BLANCO;65
2022;JUVENILES;Playoff;SEMIFINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-OBRAS NORTE;3;11/12/2022;BOCA JUNIORS AZUL;91;OBRAS NORTE;75
2022;JUVENILES;Playoff;SEMIFINAL;INTERCONFERENCIA;INTERCONFERENCIA;FERROCARRIL OESTE A-OBRAS CENTRO;3;11/12/2022;FERROCARRIL OESTE A;77;OBRAS CENTRO;84
2022;JUVENILES;Playoff;FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-OBRAS CENTRO;4;;BOCA JUNIORS AZUL;87;OBRAS CENTRO;62
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;CAÑUELAS FC-CLUB ATLETICO BERNAL;1;20/11/2022;CAÑUELAS FC;78;CLUB ATLETICO BERNAL;53
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;TRISTAN SUAREZ-MONTE GRANDE;1;20/11/2022;TRISTAN SUAREZ;73;MONTE GRANDE;39
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;TEMPERLEY-OLIMPO;1;20/11/2022;TEMPERLEY;75;OLIMPO;57
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;QUILMES A.C.-COUNTRY CIB;1;20/11/2022;QUILMES A.C.;78;COUNTRY CIB;71
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;RACING CLUB-LANUS B;1;20/11/2022;RACING CLUB;108;LANUS B;56
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;INDEPENDIENTE-BURZACO FC A;1;20/11/2022;INDEPENDIENTE;87;BURZACO FC A;54
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL-DEFENSORES DE GLEW;1;20/11/2022;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;82;DEFENSORES DE GLEW;53
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;SUR;BERAZATEGUI-VARELA JRS;1;20/11/2022;BERAZATEGUI;83;VARELA JRS;56
2022;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;CAÑUELAS FC-BERAZATEGUI;2;27/11/2022;CAÑUELAS FC;78;BERAZATEGUI;66
2022;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;TRISTAN SUAREZ-CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;2;27/11/2022;TRISTAN SUAREZ;52;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;62
2022;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;RACING CLUB-QUILMES A.C.;2;27/11/2022;RACING CLUB;82;QUILMES A.C.;61
2022;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;INDEPENDIENTE-TEMPERLEY;2;27/11/2022;INDEPENDIENTE;79;TEMPERLEY;50
2022;JUVENILES;Playoff;SEMIFINAL;1;SUR;CAÑUELAS FC-INDEPENDIENTE;3;11/12/2022;CAÑUELAS FC;65;INDEPENDIENTE;62
2022;JUVENILES;Playoff;SEMIFINAL;1;SUR;RACING CLUB-CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;3;11/12/2022;RACING CLUB;69;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;44
2022;JUVENILES;Playoff;FINAL;1;SUR;RACING CLUB-CAÑUELAS FC;4;14/12/2022;RACING CLUB;84;CAÑUELAS FC;40
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;ESTUDIANTIL PORTEÑO A-LOS INDIOS DE MORENO BLANCO;1;20/11/2022;ESTUDIANTIL PORTEÑO A;97;LOS INDIOS DE MORENO BLANCO;53
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;Club GEI AZUL-UNITARIOS DE MARCOS PAZ;1;20/11/2022;Club GEI AZUL;86;UNITARIOS DE MARCOS PAZ;55
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;MIDLAND-CEDEM;1;20/11/2022;MIDLAND;100;CEDEM;44
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;DEFENSORES DE HURLINGHAM VERDE-ESTUDIANTIL PORTEÑO B;1;20/11/2022;DEFENSORES DE HURLINGHAM VERDE;60;ESTUDIANTIL PORTEÑO B;63
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;PRESIDENTE DERQUI-LEANDRO N ALEM;1;20/11/2022;PRESIDENTE DERQUI;110;LEANDRO N ALEM;60
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;MORON A-CLARIDAD;1;20/11/2022;MORON A;89;CLARIDAD;59
2022;JUVENILES;Playoff;OCTAVOS DE FINAL;1;OESTE;RAMOS MEJIA LTC-DEP. MORON BLANCO;1;20/11/2022;RAMOS MEJIA LTC;80;DEP. MORON BLANCO;66
