anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2023;JUVENILES;Playoff;SEMIFINAL;3;SUR;TAPONAZO  FUTBOL CLUB-CLUB  ATLETICO Y PROGRESO DE BRANDSEN;1;10/12/2023;TAPONAZO  FUTBOL CLUB;70;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;67
2023;JUVENILES;Playoff;SEMIFINAL;3;SUR;CLUB SOCIAL EZEIZA-TALLERES;1;10/12/2023;CLUB SOCIAL EZEIZA;54;TALLERES;63
2023;JUVENILES;Playoff;FINAL;3;SUR;TAPONAZO  FUTBOL CLUB-TALLERES;1;17/12/2023;TAPONAZO  FUTBOL CLUB;42;TALLERES;44
2023;JUVENILES;Playoff;SEMIFINAL;3;SUR;SOCIAL LANUS-CLUB EL FOGON;1;10/12/2023;SOCIAL LANUS;85;CLUB EL FOGON;46
2023;JUVENILES;Playoff;SEMIFINAL;3;SUR;COLON FC-LA UNION;1;10/12/2023;COLON FC;66;LA UNION;80
2023;JUVENILES;Playoff;FINAL;3;SUR;SOCIAL LANUS-LA UNION;1;17/12/2023;SOCIAL LANUS;79;LA UNION;55
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;U.V.V.ADELINA-NAUTICO HACOAJ AZUL;1;3/12/2023;U.V.V.ADELINA;71;NAUTICO HACOAJ AZUL;57
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;COOPERATIVA TORTUGUITAS-PLATENSE BLANCO;1;3/12/2023;COOPERATIVA TORTUGUITAS;66;PLATENSE BLANCO;75
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;HEBRAICA-CLUB TRES DE FEBRERO AZUL;1;3/12/2023;HEBRAICA;62;CLUB TRES DE FEBRERO AZUL;28
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;NORTE;VICTORIA-DEPORTIVO SAN ANDRES;1;3/12/2023;VICTORIA;60;DEPORTIVO SAN ANDRES;62
2023;JUVENILES;Playoff;SEMIFINAL;2;NORTE;U.V.V.ADELINA-PLATENSE BLANCO;1;10/12/2023;U.V.V.ADELINA;80;PLATENSE BLANCO;59
2023;JUVENILES;Playoff;SEMIFINAL;2;NORTE;HEBRAICA-DEPORTIVO SAN ANDRES;1;10/12/2023;HEBRAICA;65;DEPORTIVO SAN ANDRES;40
2023;JUVENILES;Playoff;FINAL;2;NORTE;HEBRAICA-U.V.V.ADELINA;1;17/12/2023;HEBRAICA;85;U.V.V.ADELINA;54
2023;JUVENILES;Playoff;CUARTOS DE FINAL;3;OESTE;ITALIANO DE JOSE C PAZ-DEP. MORON ROJO;1;10/12/2023;ITALIANO DE JOSE C PAZ;44;DEP. MORON ROJO;38
2023;JUVENILES;Playoff;CUARTOS DE FINAL;3;OESTE;"DEFENSORES DE MORENO-ESTUDIANTIL PORTEÑO ""C""";1;10/12/2023;DEFENSORES DE MORENO;71;"ESTUDIANTIL PORTEÑO ""C""";39
2023;JUVENILES;Playoff;SEMIFINAL;3;OESTE;DEFENSORES DE MORENO-ITALIANO DE JOSE C PAZ;2;10/12/2023;DEFENSORES DE MORENO;58;ITALIANO DE JOSE C PAZ;42
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;LUZ Y ARTE-DEFENSORES DE GLEW;1;3/12/2023;LUZ Y ARTE;80;DEFENSORES DE GLEW;63
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;BOCA JUNIORS AMARILLO-COUNTRY BANFIELD;1;3/12/2023;BOCA JUNIORS AMARILLO;82;COUNTRY BANFIELD;47
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-JUVENTUD UNIDA;1;3/12/2023;G.E DE LOMAS DE ZAMORA B;67;JUVENTUD UNIDA;58
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;SUR;CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO-VILLEGAS BASQUET;1;3/12/2023;CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO;69;VILLEGAS BASQUET;61
2023;JUVENILES;Playoff;SEMIFINAL;2;SUR;LUZ Y ARTE-BOCA JUNIORS AMARILLO;1;10/12/2023;LUZ Y ARTE;58;BOCA JUNIORS AMARILLO;74
2023;JUVENILES;Playoff;SEMIFINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO;1;10/12/2023;G.E DE LOMAS DE ZAMORA B;80;CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO;71
2023;JUVENILES;Playoff;FINAL;2;SUR;G.E DE LOMAS DE ZAMORA B-BOCA JUNIORS AMARILLO;1;17/12/2023;G.E DE LOMAS DE ZAMORA B;61;BOCA JUNIORS AMARILLO;53
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;SOCIAL BECCAR-CLUB SPORTIVO PILAR;1;3/12/2023;SOCIAL BECCAR;79;CLUB SPORTIVO PILAR;67
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;NAUTICO HACOAJ BLANCO-ATLETICO BOULOGNE;1;3/12/2023;NAUTICO HACOAJ BLANCO;68;ATLETICO BOULOGNE;59
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;CLUB ATLETICO PILAR-CAZA Y PESCA A;1;3/12/2023;CLUB ATLETICO PILAR;72;CAZA Y PESCA A;56
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;NORTE;SAN FERNANDO AZUL-UNION FLORIDA;1;3/12/2023;SAN FERNANDO AZUL;87;UNION FLORIDA;72
2023;JUVENILES;Playoff;SEMIFINAL;1;NORTE;SOCIAL BECCAR-NAUTICO HACOAJ BLANCO;1;10/12/2023;SOCIAL BECCAR;57;NAUTICO HACOAJ BLANCO;54
2023;JUVENILES;Playoff;SEMIFINAL;1;NORTE;CLUB ATLETICO PILAR-SAN FERNANDO AZUL;1;10/12/2023;CLUB ATLETICO PILAR;83;SAN FERNANDO AZUL;71
2023;JUVENILES;Playoff;FINAL;1;NORTE;CLUB ATLETICO PILAR-SOCIAL BECCAR;1;17/12/2023;CLUB ATLETICO PILAR;94;SOCIAL BECCAR;79
2023;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;ITALIANO B-NUEVA CHICAGO;1;3/12/2023;ITALIANO B;58;NUEVA CHICAGO;35
2023;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;COLEGIALES NEGRO-VELEZ SARSFIELD AZUL;1;3/12/2023;COLEGIALES NEGRO;53;VELEZ SARSFIELD AZUL;65
2023;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;GEBA-PINOCHO VERDE;1;3/12/2023;GEBA;101;PINOCHO VERDE;35
2023;JUVENILES;Playoff;CUARTOS DE FINAL;3;CENTRO;YUPANQUI-FERROCARRIL OESTE C;1;3/12/2023;YUPANQUI;69;FERROCARRIL OESTE C;48
2023;JUVENILES;Playoff;SEMIFINAL;3;CENTRO;ITALIANO B-VELEZ SARSFIELD AZUL;1;10/12/2023;ITALIANO B;65;VELEZ SARSFIELD AZUL;51
2023;JUVENILES;Playoff;SEMIFINAL;3;CENTRO;GEBA-YUPANQUI;1;10/12/2023;GEBA;67;YUPANQUI;69
2023;JUVENILES;Playoff;FINAL;3;CENTRO;ITALIANO B-YUPANQUI;1;17/12/2023;ITALIANO B;52;YUPANQUI;49
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;SAN LORENZO AZUL-ARQUITECTURA NEGRO;1;3/12/2023;SAN LORENZO AZUL;90;ARQUITECTURA NEGRO;58
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;PEDRO ECHAGUE AZUL-IMPERIO BLANCO;1;3/12/2023;PEDRO ECHAGUE AZUL;95;IMPERIO BLANCO;98
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;VILLA MITRE-ITALIANO;1;3/12/2023;VILLA MITRE;55;ITALIANO;51
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;CENTRO;PLATENSE MARRON-VELEZ SARSFIELD BLANCO;1;3/12/2023;PLATENSE MARRON;92;VELEZ SARSFIELD BLANCO;67
2023;JUVENILES;Playoff;SEMIFINAL;1;CENTRO;SAN LORENZO AZUL-IMPERIO BLANCO;1;10/12/2023;SAN LORENZO AZUL;86;IMPERIO BLANCO;66
2023;JUVENILES;Playoff;SEMIFINAL;1;CENTRO;VILLA MITRE-PLATENSE MARRON;1;10/12/2023;VILLA MITRE;61;PLATENSE MARRON;76
2023;JUVENILES;Playoff;FINAL;1;CENTRO;SAN LORENZO AZUL-PLATENSE MARRON;1;17/12/2023;SAN LORENZO AZUL;67;PLATENSE MARRON;65
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;ALL BOYS BLANCO-MACABI;1;3/12/2023;ALL BOYS BLANCO;108;MACABI;93
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;"HARRODS GATH Y CHAVES-DEPORTIVO CROVARA  ""A""";1;3/12/2023;HARRODS GATH Y CHAVES;68;"DEPORTIVO CROVARA  ""A""";56
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;UNIVERSIDAD DE BUENOS AIRES-CIUDAD DE BUENOS AIRES B;1;3/12/2023;UNIVERSIDAD DE BUENOS AIRES;48;CIUDAD DE BUENOS AIRES B;58
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;CENTRO;ARMENIA-PINOCHO BLANCO;1;3/12/2023;ARMENIA;66;PINOCHO BLANCO;62
2023;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;ALL BOYS BLANCO-HARRODS GATH Y CHAVES;1;10/12/2023;ALL BOYS BLANCO;77;HARRODS GATH Y CHAVES;67
2023;JUVENILES;Playoff;SEMIFINAL;2;CENTRO;ARMENIA-CIUDAD DE BUENOS AIRES B;1;10/12/2023;ARMENIA;46;CIUDAD DE BUENOS AIRES B;51
2023;JUVENILES;Playoff;FINAL;2;CENTRO;ALL BOYS BLANCO-CIUDAD DE BUENOS AIRES B;1;17/12/2023;ALL BOYS BLANCO;76;CIUDAD DE BUENOS AIRES B;78
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;INSTITUCION SARMIENTO BLANCO-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1;3/12/2023;INSTITUCION SARMIENTO BLANCO;50;CLUB PORTUGUES DEL GRAN BUENOS AIRES;61
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;ESTUDIANTIL PORTEÑO B-ARGENTINO DE CASTELAR CENTRO;1;3/12/2023;ESTUDIANTIL PORTEÑO B;64;ARGENTINO DE CASTELAR CENTRO;63
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;LOS INDIOS DE MORENO BLANCO-UNLAM A;1;3/12/2023;LOS INDIOS DE MORENO BLANCO;86;UNLAM A;48
2023;JUVENILES;Playoff;CUARTOS DE FINAL;2;OESTE;CEDEM-EL PALOMAR;1;3/12/2023;CEDEM;60;EL PALOMAR;47
2023;JUVENILES;Playoff;SEMIFINAL;2;OESTE;ESTUDIANTIL PORTEÑO B-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1;10/12/2023;ESTUDIANTIL PORTEÑO B;54;CLUB PORTUGUES DEL GRAN BUENOS AIRES;61
2023;JUVENILES;Playoff;SEMIFINAL;2;OESTE;LOS INDIOS DE MORENO BLANCO-CEDEM;1;10/12/2023;LOS INDIOS DE MORENO BLANCO;89;CEDEM;51
2023;JUVENILES;Playoff;FINAL;2;OESTE;LOS INDIOS DE MORENO BLANCO-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1;17/12/2023;LOS INDIOS DE MORENO BLANCO;56;CLUB PORTUGUES DEL GRAN BUENOS AIRES;47
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;PRESIDENTE DERQUI-NOLTING;1;3/12/2023;PRESIDENTE DERQUI;71;NOLTING;35
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;Club GEI AZUL-HURACAN DE SAN JUSTO ROJO;1;3/12/2023;Club GEI AZUL;93;HURACAN DE SAN JUSTO ROJO;79
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;LOS INDIOS DE MORENO NEGRO-C.A.S.A PADUA A;1;3/12/2023;LOS INDIOS DE MORENO NEGRO;71;C.A.S.A PADUA A;51
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;OESTE;A.F.A.L.P. A-CLARIDAD;1;3/12/2023;A.F.A.L.P. A;67;CLARIDAD;88
2023;JUVENILES;Playoff;SEMIFINAL;1;OESTE;PRESIDENTE DERQUI-Club GEI AZUL;1;10/12/2023;PRESIDENTE DERQUI;62;Club GEI AZUL;79
2023;JUVENILES;Playoff;SEMIFINAL;1;OESTE;LOS INDIOS DE MORENO NEGRO-CLARIDAD;1;10/12/2023;LOS INDIOS DE MORENO NEGRO;67;CLARIDAD;41
2023;JUVENILES;Playoff;FINAL;1;OESTE;LOS INDIOS DE MORENO NEGRO-Club GEI AZUL;1;17/12/2023;LOS INDIOS DE MORENO NEGRO;76;Club GEI AZUL;57
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;RACING CLUB-TEMPERLEY;1;3/12/2023;RACING CLUB;89;TEMPERLEY;78
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;TRISTAN SUAREZ-VARELA JRS;1;3/12/2023;TRISTAN SUAREZ;43;VARELA JRS;49
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;WILDE SPORTING-CAÑUELAS FC - Sub19;1;3/12/2023;WILDE SPORTING;78;CAÑUELAS FC - Sub19;74
2023;JUVENILES;Playoff;CUARTOS DE FINAL;1;SUR;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL-BERAZATEGUI;1;3/12/2023;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;75;BERAZATEGUI;41
2023;JUVENILES;Playoff;SEMIFINAL;1;SUR;RACING CLUB-VARELA JRS;1;10/12/2023;RACING CLUB;77;VARELA JRS;80
2023;JUVENILES;Playoff;SEMIFINAL;1;SUR;WILDE SPORTING-CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;1;10/12/2023;WILDE SPORTING;76;CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL;66
2023;JUVENILES;Playoff;FINAL;1;SUR;WILDE SPORTING-VARELA JRS;1;17/12/2023;WILDE SPORTING;84;VARELA JRS;76
2023;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-CLUB SPORTIVO ESCOBAR;1;3/12/2023;BOCA JUNIORS AZUL;86;CLUB SPORTIVO ESCOBAR;70
2023;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;PINOCHO-LANUS A;1;3/12/2023;PINOCHO;60;LANUS A;67
2023;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;RIVER PLATE-OBRAS NORTE;1;3/12/2023;RIVER PLATE;76;OBRAS NORTE;68
2023;JUVENILES;Playoff;CUARTOS DE FINAL;INTERCONFERENCIA;INTERCONFERENCIA;FERROCARRIL OESTE A-OBRAS CENTRO;1;3/12/2023;FERROCARRIL OESTE A;69;OBRAS CENTRO;63
2023;JUVENILES;Playoff;SEMIFINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-LANUS A;1;10/12/2023;BOCA JUNIORS AZUL;85;LANUS A;52
2023;JUVENILES;Playoff;SEMIFINAL;INTERCONFERENCIA;INTERCONFERENCIA;RIVER PLATE-FERROCARRIL OESTE A;1;10/12/2023;RIVER PLATE;84;FERROCARRIL OESTE A;76
2023;JUVENILES;Playoff;FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-RIVER PLATE;1;17/12/2023;BOCA JUNIORS AZUL;83;RIVER PLATE;68
2023;JUVENILES;Playoff;Octavos de Final;3;CENTRO;VELEZ SARSFIELD AZUL-DEPORTIVO CROVARA B;1;26/11/2023;VELEZ SARSFIELD AZUL;100;DEPORTIVO CROVARA B;19
2023;JUVENILES;Playoff;Octavos de Final;3;CENTRO;FERROCARRIL OESTE C-CIRCULO URQUIZA BLANCO;1;26/11/2023;FERROCARRIL OESTE C;69;CIRCULO URQUIZA BLANCO;51
2023;JUVENILES;Playoff;Octavos de Final;3;CENTRO;PINOCHO VERDE-IMPERIO NEGRO;1;26/11/2023;PINOCHO VERDE;60;IMPERIO NEGRO;57
2023;JUVENILES;Playoff;Octavos de Final;3;CENTRO;ALL BOYS NEGRO-NUEVA CHICAGO;1;26/11/2023;ALL BOYS NEGRO;74;NUEVA CHICAGO;80
2023;JUVENILES;Playoff;Octavos de Final;3;OESTE;DEP. MORON ROJO-SAN MIGUEL BLANCO;1;26/11/2023;DEP. MORON ROJO;20;SAN MIGUEL BLANCO;0
2023;JUVENILES;Playoff;Octavos de Final;2;SUR;LANUS B-COUNTRY BANFIELD;1;26/11/2023;LANUS B;54;COUNTRY BANFIELD;67
2023;JUVENILES;Playoff;Octavos de Final;2;SUR;JUVENTUD UNIDA-LOBOS  ATHLETIC  CLUB;1;26/11/2023;JUVENTUD UNIDA;39;LOBOS  ATHLETIC  CLUB;38
2023;JUVENILES;Playoff;Octavos de Final;2;SUR;VILLEGAS BASQUET-VILLA ESPAÑA;1;26/11/2023;VILLEGAS BASQUET;67;VILLA ESPAÑA;64
2023;JUVENILES;Playoff;Octavos de Final;2;SUR;CLUB  SOCIAL  ALEJANDRO  KORN-DEFENSORES DE GLEW;1;26/11/2023;CLUB  SOCIAL  ALEJANDRO  KORN;45;DEFENSORES DE GLEW;62
2023;JUVENILES;Playoff;Octavos de Final;2;CENTRO;"DEPORTIVO CROVARA  ""A""-ESTRELLA DE BOEDO";1;26/11/2023;"DEPORTIVO CROVARA  ""A""";74;ESTRELLA DE BOEDO;35
2023;JUVENILES;Playoff;Octavos de Final;2;CENTRO;SAN LORENZO ROJO-CIUDAD DE BUENOS AIRES B;1;26/11/2023;SAN LORENZO ROJO;67;CIUDAD DE BUENOS AIRES B;81
2023;JUVENILES;Playoff;Octavos de Final;2;CENTRO;PINOCHO BLANCO-RACING ANEXO;1;26/11/2023;PINOCHO BLANCO;72;RACING ANEXO;52
2023;JUVENILES;Playoff;Octavos de Final;2;CENTRO;MACABI-ARGENTINOS JUNIORS;1;26/11/2023;MACABI;75;ARGENTINOS JUNIORS;65
2023;JUVENILES;Playoff;Octavos de Final;2;NORTE;CENTRO GALICIA-PLATENSE BLANCO;1;26/11/2023;CENTRO GALICIA;51;PLATENSE BLANCO;63
2023;JUVENILES;Playoff;Octavos de Final;2;NORTE;NAUTICO HACOAJ AZUL-CAZA Y PESCA B;1;26/11/2023;NAUTICO HACOAJ AZUL;62;CAZA Y PESCA B;52
2023;JUVENILES;Playoff;Octavos de Final;2;NORTE;DEPORTIVO SAN ANDRES-BELLA VISTA;1;26/11/2023;DEPORTIVO SAN ANDRES;91;BELLA VISTA;72
2023;JUVENILES;Playoff;Octavos de Final;2;NORTE;BANCO PROVINCIA B-CLUB TRES DE FEBRERO AZUL;1;26/11/2023;BANCO PROVINCIA B;59;CLUB TRES DE FEBRERO AZUL;69
2023;JUVENILES;Playoff;Octavos de Final;2;OESTE;ARGENTINO DE CASTELAR CENTRO-CIUDADELA NORTE;1;26/11/2023;ARGENTINO DE CASTELAR CENTRO;62;CIUDADELA NORTE;56
2023;JUVENILES;Playoff;Octavos de Final;2;OESTE;UNLAM A-Club GEI BLANCO;1;26/11/2023;UNLAM A;67;Club GEI BLANCO;54
2023;JUVENILES;Playoff;Octavos de Final;2;OESTE;C.A.S.A PADUA B-EL PALOMAR;1;26/11/2023;C.A.S.A PADUA B;62;EL PALOMAR;70
2023;JUVENILES;Playoff;Octavos de Final;2;OESTE;MORON B-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1;26/11/2023;MORON B;53;CLUB PORTUGUES DEL GRAN BUENOS AIRES;57
2023;JUVENILES;Playoff;Octavos de Final;1;SUR;VARELA JRS-CLUB ATLETICO BERNAL;1;26/11/2023;VARELA JRS;76;CLUB ATLETICO BERNAL;37
2023;JUVENILES;Playoff;Octavos de Final;1;SUR;CAÑUELAS FC - Sub19-COOPERARIOS;1;26/11/2023;CAÑUELAS FC - Sub19;74;COOPERARIOS;44
2023;JUVENILES;Playoff;Octavos de Final;1;SUR;BERAZATEGUI-LOS ANDES;1;26/11/2023;BERAZATEGUI;71;LOS ANDES;66
2023;JUVENILES;Playoff;Octavos de Final;1;SUR;INDEPENDIENTE-TEMPERLEY;1;26/11/2023;INDEPENDIENTE;56;TEMPERLEY;77
2023;JUVENILES;Playoff;Octavos de Final;1;NORTE;ATLETICO BOULOGNE-BANCO NACIÓN;1;26/11/2023;ATLETICO BOULOGNE;76;BANCO NACIÓN;62
