EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
DEFENSORES DE GLEW,10,10,0,0,328,135,193,20
BURZACO FC Azul A,10,8,1,1,386,170,216,17
CLUB SOCIAL ALEJANDRO KORN,11,6,5,0,368,257,111,17
CLUB EL FOGON,11,4,6,1,305,330,-25,14
INDEPENDIENTE DE BURZACO,9,3,5,1,170,240,-70,11
LOBOS ATHLETIC CLUB,12,2,7,3,148,260,-112,11
TAPONAZO  FUTBOL CLUB,11,0,9,2,67,380,-313,9
