anio,ronda,nivel,zona,grupo,cantidad_tiras,equipos
2019.0,1ra Fase,1,OESTE,B,6,"ARGENTINO DE CASTELAR NORTE, C.A.S.A PADUA A, Club GEI AZUL, HURACAN DE SAN JUSTO ROJO, MORON A, SAN MIGUEL"
2019.0,2da Fase,1,OESTE,B,8,"C.A.S.A PADUA A, CLARIDAD, Club GEI AZUL, DEFENSORES DE HURLINGHAM VERDE, ESTUDIANTIL PORTEÑO B, NOLTING, RAMOS MEJIA LTC, UNITARIOS DE MARCOS PAZ"
2019.0,1ra Fase,2,OESTE,A,6,"CEDEM, CLARIDAD, DEFENSORES DE HURLINGHAM VERDE, DEP. MORON BLANCO, ESTUDIANTIL PORTEÑO B, UNLAM A"
2019.0,2da Fase,2,OESTE,A,8,"ALTE. BROWN, ARGENTINO DE CASTELAR CENTRO, C.A.S.A PADUA B, Club GEI BLANCO, DEP. MORON BLANCO, ITALIANO DE JOSE C PAZ, MORON B, RAMOS MEJIA LTC B"
2019.0,1ra Fase,2,OESTE,B,6,"C.A.S.A PADUA B, EL PALOMAR, LEANDRO N ALEM, LOS INDIOS DE MORENO BLANCO, MIDLAND, UNITARIOS DE MARCOS PAZ"
2019.0,2da Fase,2,OESTE,B,7,"ALTUBE, CEDEM, CENTRO ESPAÑOL, DEFENSORES DE SANTOS LUGARES, EL PALOMAR, HURACAN DE SAN JUSTO BLANCO, SITAS"
2019.0,1ra Fase,3,OESTE,A,6,"ALTE. BROWN, ALTUBE, DEFENSORES DE MORENO, HURACAN DE SAN JUSTO BLANCO, MORON B, RAMOS MEJIA LTC B"
2019.0,1ra Fase,3,OESTE,B,6,"ARGENTINO DE CASTELAR CENTRO, CENTRO ESPAÑOL, Club GEI BLANCO, DEFENSORES DE SANTOS LUGARES, ITALIANO DE JOSE C PAZ, SITAS"
2019.0,3ra Fase,3,OESTE,UNICO,4,"ALTUBE, ITALIANO DE JOSE C PAZ, SAN MIGUEL, SITAS"
2019.0,1ra Fase,1,SUR,A,6,"CAÑUELAS FC, G.E DE LOMAS DE ZAMORA A, LANUS A, QUILMES A.C., RACING CLUB, VILLA ESPAÑA"
2019.0,2da Fase,1,SUR,A,8,"BURZACO FC A, CAÑUELAS FC, CLUB ATLETICO BERNAL, INDEPENDIENTE DE BURZACO, MONTE GRANDE, QUILMES A.C., SOCIAL LANUS, WILDE SPORTING"
2019.0,1ra Fase,1,SUR,B,6,"BERAZATEGUI, BOCA JUNIORS AZUL, INDEPENDIENTE, MONTE GRANDE, TEMPERLEY, WILDE SPORTING"
2019.0,2da Fase,1,SUR,B,8,"BERAZATEGUI, COUNTRY BANFIELD, LANUS B, RACING CLUB, TEMPERLEY, TRISTAN SUAREZ, VARELA JRS, VILLA ESPAÑA"
2019.0,1ra Fase,2,SUR,A,6,"BOCA JUNIORS AMARILLO, BURZACO FC A, CLUB ATLETICO BERNAL, LOS ANDES, TRISTAN SUAREZ, VARELA JRS"
2019.0,2da Fase,2,SUR,A,5,"BOCA JUNIORS AMARILLO, COLON FC, DEFENSORES DE BANFIELD, INSTITUTO GLEW, MORENO DE QUILMES"
2019.0,3ra Fase,2,SUR,A,6,"BOCA JUNIORS AMARILLO, COOPERARIOS, DEFENSORES DE BANFIELD, INSTITUTO GLEW, OLIMPO, VILLEGAS BASQUET"
2019.0,1ra Fase,2,SUR,B,6,"COOPERARIOS, COUNTRY BANFIELD, INDEPENDIENTE DE BURZACO, LANUS B, MORENO DE QUILMES, SOCIAL LANUS"
2019.0,2da Fase,2,SUR,B,5,"COOPERARIOS, G.E DE LOMAS DE ZAMORA B, OLIMPO, VILLA IDEAL, VILLEGAS BASQUET"
2019.0,3ra Fase,2,SUR,B,4,"COLON FC, G.E DE LOMAS DE ZAMORA B, MORENO DE QUILMES, VILLA IDEAL"
2019.0,1ra Fase,3,SUR,A,5,"DEFENSORES DE BANFIELD, INSTITUTO GLEW, MUNICIPALIDAD DE AVELLANEDA, OLIMPO, SIERO BIBLIOTECA"
2019.0,3ra Fase,3,SUR,A,3,"DEFENSORES DE MORENO, LOS ANDES, TALLERES"
2019.0,1ra Fase,3,SUR,B,6,"BURZACO FC B, COLON FC, G.E DE LOMAS DE ZAMORA B, TALLERES, VILLA IDEAL, VILLEGAS BASQUET"
2019.0,3ra Fase,3,SUR,B,3,"BURZACO FC B, MUNICIPALIDAD DE AVELLANEDA, SIERO BIBLIOTECA"
2019.0,2da Fase,3,SUR,UNICO,6,"BURZACO FC B, DEFENSORES DE MORENO, LOS ANDES, MUNICIPALIDAD DE AVELLANEDA, SIERO BIBLIOTECA, TALLERES"
2022.0,1ra Fase,1,CENTRO,A,6,"APV, FERROCARRIL OESTE A, GEVP BLANCO, IMPERIO BLANCO, JOSE HERNANDEZ A, PINOCHO"
2022.0,2da Fase,1,CENTRO,A,8,"ALL BOYS BLANCO, COLEGIALES BLANCO, DEPORTIVO CROVARA  ""A"", FERROCARRIL OESTE B, GEVP CELESTE, ITALIANO, JOSE HERNANDEZ A, PINOCHO"
2022.0,1ra Fase,1,CENTRO,B,6,"COLEGIALES BLANCO, DEPORTIVO CROVARA  ""A"", OBRAS CENTRO, PEDRO ECHAGUE AZUL, SAN LORENZO AZUL, VELEZ SARSFIELD BLANCO"
2022.0,2da Fase,1,CENTRO,B,8,"APV, ARQUITECTURA NEGRO, COMUNICACIONES, IMPERIO BLANCO, PEDRO ECHAGUE AZUL, PLATENSE MARRON, SAN LORENZO AZUL, VILLA MITRE"
